# TESS Program G011154

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories

PI: Prsa, Andrej - Villanova University

Type: N/A

Summary: Eclipsing binary (EB) science has long held renown for delivering accurate measurements of fundamental parameters: masses, radii, luminosities and temperatures. The field witnessed exponential growth in the Kepler era of ultra-high photometric precision, and the impact of TESS will be no less revolutionary. This multi-faceted proposal encapsulates three goals: (1) extract all known EB light curves from Full Frame Images (FFIs); (2) mine FFIs for as-of-yet unknown calibration-quality EBs, where simulations predict a 10-fold increase in the number of known EBs; and (3) acquire 2-min cadence observations for a prioritized list of targets that maximize scientific yield. The proposal discusses hot topics in the EB field and outlines the effort to provide these deliverables to the community.    


# Sector 001 targets observed (230)
115105140,316.4954,-36.2595,7.34,G011154;G011250
126602778,314.5088,-46.0668,10.79,G011154
126637765,314.6959,-42.6178,11.34,G011154
126658353,315.0264,-42.6458,9.78,G011154
126763848,316.1339,-46.256,6.53,G011154;G011048;G011250
126944775,318.5806,-42.7989,8.21,G011154;G011060
126947151,318.7495,-46.1512,8.88,G011154
144194304,327.9725,-42.3733,9.11,G011154
147131974,322.0755,-44.155,10.43,G011154
147164002,322.4535,-44.6962,8.47,G011154
147201138,322.9532,-45.0451,10.91,G011154
159875117,325.7558,-39.4334,8.67,G011154
200655763,320.8291,-46.374,11.62,G011154
266584813,319.3042,-35.4069,8.7,G011154
369218857,313.9925,-36.4485,11.7,G011154
369251645,314.3643,-36.5483,8.67,G011154
389374364,311.2404,-38.5673,8.66,G011154
389476160,312.9791,-40.7847,11.04,G011154
389522775,313.0692,-39.9982,8.88,G011154;G011180
389658055,321.0717,-44.9177,11.11,G011154
89428764,323.0388,-34.7146,9.91,G011154
91369561,312.5683,-42.2179,11.15,G011154
91448148,313.6714,-45.7308,9.12,G011154
91449342,313.7016,-43.1109,8.25,G011154
160036449,336.7525,-37.1884,10.78,G011154
197735761,330.7541,-39.3565,11.66,G011154
204497617,326.799,-32.8964,11.72,G011154
204499489,326.8135,-33.6646,8.56,G011154
204543521,327.357,-34.8245,8.28,G011154
214198381,339.1736,-38.3025,10.85,G011154
214299836,339.4488,-39.8571,6.06,G011048;G011154;G011250
214568827,340.7051,-38.0435,8.32,G011154
229038866,330.053,-35.3359,11.87,G011154
229051647,331.4499,-35.7595,10.42,G011154
229057817,331.9905,-32.8333,10.26,G011154
253928535,338.5051,-30.605,11.13,G011154
253931508,339.0191,-33.5538,8.4,G011154
279254042,331.3891,-43.3454,10.54,G011154
279314488,331.6805,-43.733,10.51,G011154
61178208,334.9844,-33.0497,8.39,G011154
61454861,334.952,-32.4509,8.2,G011154
61456487,334.9472,-32.2639,8.24,G011154
206462116,330.8663,-21.7018,9.18,G011154;G011060
206537272,332.8829,-22.788,10.66,G011154
206545643,333.1943,-20.8909,7.11,G011154;G011048;G011250
206555954,333.6863,-22.3668,11.38,G011154
206556127,333.6608,-21.6971,8.75,G011180;G011068;G011154
25226885,326.958,-20.2352,11.87,G011154
270251499,330.6208,-26.1977,8.49,G011154
32196958,332.2402,-27.1957,8.16,G011154
32200310,332.4457,-27.0671,10.53,G011154
441105436,323.8299,-27.3804,11.6,G011154
