# TESS Program G011211

Title: Probing M Dwarf Radius Inflation And Effective Temperature Suppression With TESS Short Cadence Data

PI: Stevens, Daniel - Ohio State University

Type: N/A

Summary: We propose for TESS 2-minute cadence observations of 73 single-lined EBs with M dwarf secondaries to precisely measure the primary and secondary eclipses. We will jointly analyze these eclipses, radial velocities (RVs), Gaia parallaxes, and already available spectral energy distributions (SEDs) to explore the effect of binary interactions on the observed M dwarf radii and effective temperatures, which are known to disagree with models by 5-10%. We can further improve the precision on these parameters with granulation-driven surface gravities from the 2-minute cadence data and the addition of spectrophotometry from Gaia and the proposed SPHEREx mission.                                                                                                                                            


# Sector 001 targets observed (8)
207081058,331.8676,-41.8155,9.93,G011278;G011211
265469420,321.2541,-60.3587,11.34,G011211
355601117,357.6686,-57.506,11.17,G011211;G011154
139256217,347.1905,-46.1102,10.99,G011278;G011211
231833061,24.0075,-65.6909,10.86,G011211
234518605,14.5128,-62.2395,11.88,G011211
281639236,9.5886,-58.1165,9.6,G011211
220523550,42.5627,-65.207,11.06,G011211

# Sector 002 targets observed (7)
355601117,357.6686,-57.506,11.17,G011211;G011154
231275247,41.8358,-51.4527,9.08,G011278;G011211
231833061,24.0075,-65.6909,10.86,G011211
234518605,14.5128,-62.2395,11.88,G011211
281639236,9.5886,-58.1165,9.6,G011211
220523550,42.5627,-65.207,11.06,G011211
220569051,46.3677,-60.3627,11.13,G011211

# Sector 003 targets observed (7)
142177867,37.4148,-47.2294,9.06,G011211
231275247,41.8358,-51.4527,9.08,G011278;G011211
220523550,42.5627,-65.207,11.06,G011211
220569051,46.3677,-60.3627,11.13,G011211
197931263,59.144,-54.2305,11.89,G011211
219239945,64.5217,-53.8013,10.92,G011278;G011211
350480660,85.9645,-57.1634,11.25,G011211

# Sector 004 targets observed (8)
153709888,65.5666,-42.0756,11.4,G011211
197931263,59.144,-54.2305,11.89,G011211
219239945,64.5217,-53.8013,10.92,G011278;G011211
153741139,66.3822,-46.2188,10.37,G011278;G011211
278861826,100.6585,-56.5417,9.83,G011211
350480660,85.9645,-57.1634,11.25,G011211
167554898,101.3157,-61.0913,9.66,G011211
349308842,109.7469,-61.3988,11.8,G011211

# Sector 005 targets observed (8)
167747439,80.9759,-40.2982,10.2,G011211
153709888,65.5666,-42.0756,11.4,G011211
153741139,66.3822,-46.2188,10.37,G011278;G011211
219239945,64.5217,-53.8013,10.92,G011278;G011211
167554898,101.3157,-61.0913,9.66,G011211
278861826,100.6585,-56.5417,9.83,G011211
350480660,85.9645,-57.1634,11.25,G011211
349308842,109.7469,-61.3988,11.8,G011211

# Sector 006 targets observed (7)
284909275,82.3749,6.4143,10.85,G011211
167747439,80.9759,-40.2982,10.2,G011211
355357949,109.3389,-49.4146,10.75,G011211
167554898,101.3157,-61.0913,9.66,G011211
278861826,100.6585,-56.5417,9.83,G011211
349308842,109.7469,-61.3988,11.8,G011211
350480660,85.9645,-57.1634,11.25,G011211

# Sector 007 targets observed (11)
27654882,123.7096,12.0604,9.83,G011211
262758522,108.0662,7.7895,10.35,G011211
425172025,111.3036,11.9705,11.4,G011211
468948126,106.8754,6.7744,10.4,G011211
147102369,124.8005,-30.4296,10.97,G011211
