# TESS Program G04074

Title: Probing Massive Star Interiors With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star s interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 040 targets observed (2 min: 189, 20 s: 2)
109841888,291.0317,29.6214,5.11,G04074
109851914,291.0939,28.0875,6.58,G04074;G04060
137309344,291.5381,36.318,5.28,G04074;G04123;G04060
137489662,292.1589,36.7791,8.81,G04074;G04234
137815897,292.778,38.3282,10.42,G04074
138648069,294.2361,38.3838,6.61,G04074
20780347,284.7359,32.6896,1.87,G04123;G04074;G04125
21150324,285.4516,33.6212,6.49,G04074
213412439,294.0438,29.8213,9.23,G04074
214239233,294.4142,29.0499,9.5,G04074
215018831,294.8457,28.4372,9.57,G04074
216236227,295.3327,29.1444,8.32,G04074
216976987,295.5332,28.996,8.96,G04074
21755546,292.2868,30.2973,8.4,G04074;G04123;G04242;G04039
22463866,292.943,34.4529,4.9,G04074;G04125
237184192,283.4315,36.9717,5.73,G04074
28565824,282.4578,35.762,9.68,G04074
28570131,282.4413,32.8128,6.07,G04074
29615588,287.9417,31.2834,5.96,G04074;G04123
30715501,289.7655,33.3886,6.78,G04067;G04074
30859882,289.8654,31.9663,6.91,G04074
351056971,291.9017,37.9412,6.28,G04067;G04074
377724833,282.9021,36.5391,6.19,G04074;G04123
379932247,293.4579,29.4989,11.48,G04074
392719583,288.9901,31.2408,6.91,G04074
41099689,293.8834,31.2767,7.63,G04074
41605661,294.124,33.7771,10.7,G04074
42062129,285.9817,34.1512,7.4,G04074
425704973,281.9891,31.7568,6.19,G04150;G04067;G04074
42812566,287.1883,34.7603,7.19,G04074
68940684,294.1933,35.2453,10.33,G04074
18634735,266.9669,34.2779,6.75,G04074
235730501,276.5818,26.2277,7.0,G04074
235760211,276.6218,26.461,7.19,G04074
235760238,276.6705,26.4492,6.59,G04074
377680086,278.8063,34.4581,6.15,G04074;G04067;G04060
68345417,280.4222,31.6176,6.46,G04074
68348884,280.4176,34.0987,7.55,G04074;G04123
68392320,280.5337,34.7463,6.59,G04074
15437830,280.2664,15.3973,10.81,G04074
224536626,282.427,15.9345,6.68,G04074
235647264,277.3988,23.8662,5.94,G04074
256265531,276.3661,22.7068,6.88,G04074
287624238,276.4801,14.9661,6.4,G04074
296081075,272.1895,20.8145,4.55,G04074;G04125
320935848,272.0837,24.1786,11.8,G04074
348725470,282.241,21.167,7.28,G04074
357853776,282.2318,24.0558,6.62,G04074
462707324,270.596,20.8336,5.33,G04074;G04060
462709664,270.6256,22.9232,6.28,G04067;G04074
112175490,292.311,26.7168,7.92,G04074
213320886,293.9496,25.8139,7.64,G04074
213857363,294.3205,24.4523,8.87,G04074
215372492,294.9529,25.4151,9.51,G04074
