# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
110737083,291.5622,28.4502,9.17,G04103
110748083,291.6874,29.2377,8.77,G04103
111334588,291.9476,27.7158,9.83,G04103
111906181,292.2764,27.9297,7.84,G04103
112278311,292.3427,27.601,9.03,G04103
114785024,285.1577,28.5391,9.61,G04103
115062188,285.4147,28.0642,10.25,G04103
115064173,285.4733,27.3008,8.72,G04103
115232854,285.6237,28.8507,10.94,G04103
115469590,285.9411,28.7143,9.89,G04103
120047405,283.9383,37.9232,8.66,G04103
120359225,284.7334,36.8151,10.37,G04103
120569930,285.5711,37.2978,10.09,G04103
120572039,285.6153,38.5035,9.99,G04103
120572162,285.5335,38.5703,9.84,G04103
120630306,285.6403,37.6486,9.93,G04103
120635395,285.9204,36.908,9.24,G04103
120693378,285.9635,38.3182,10.67,G04103
120762574,286.1924,37.7401,10.1,G04103
120824465,286.3669,37.9919,9.99,G04103
120825841,286.3099,37.2249,11.39,G04103
120971656,286.7572,38.3211,10.72,G04103
121080590,286.995,36.2122,10.16,G04103
121083955,287.0574,37.9914,9.28,G04103
121084892,287.007,38.5254,9.57,G04103
121212085,287.347,37.6176,8.43,G04103
121214185,287.362,38.7142,7.76,G04059;G04242;G04103
121276944,287.5486,38.0821,8.1,G04103
121397072,287.7801,37.4211,10.18,G04103
121543661,288.2382,37.0474,11.76,G04123;G04106;G04103
121544394,288.2207,37.3664,10.35,G04103
121608323,288.4287,37.787,11.92,G04103
121608344,288.4079,37.7747,7.8,G04209;G04103
121654701,288.5881,37.6413,7.9,G04103
121654825,288.5215,37.6952,10.7,G04103
121656875,288.5624,38.7148,11.38,G04103
121737298,288.7189,38.0267,9.49,G04103
121737780,288.7743,37.7798,10.33,G04103
121782289,288.844,38.712,7.27,G04103
121868968,288.9535,38.3817,7.2,G04103
121998675,289.4879,37.1174,11.17,G04103
122001179,289.5002,38.2762,8.71,G04103
122073273,289.6532,38.6005,9.38,G04103
122135813,289.6705,36.05,11.1,G04103
122215177,289.912,37.3294,5.67,G04103
122216408,289.9417,36.7644,7.11,G04103
122218189,289.9662,36.0378,9.31,G04103
122218356,289.9365,35.9608,10.32,G04103
122450165,290.5399,38.7603,9.8,G04103
122450930,290.5131,38.416,9.98,G04103
122451513,290.4366,38.1574,10.66,G04103
122607590,290.7596,38.1688,9.57,G04103
122680362,290.9099,37.0781,10.07,G04103
137311909,291.753,36.3522,10.31,G04103
137318531,291.7521,38.6626,10.49,G04242;G04103
137348630,292.0664,37.9321,8.8,G04103
137493886,292.3754,36.2881,6.32,G04103
