# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 041 targets observed (2 min: 883, 20 s: 45)
100156018,310.621,33.2724,14.73,G04209
100239591,310.7336,33.3844,13.22,G04209
16619926,307.6895,39.3723,12.51,G04219;G04209
16620655,307.7628,39.5804,11.98,G04214;G04209;G04178
16620660,307.7621,39.5825,17.25,G04209
171098521,298.7315,40.7045,12.66,G04209;G04138
171587829,298.985,39.7099,10.83,G04209
1879734906,298.9875,39.7108,19.62,G04209
1879820270,298.7335,40.706,18.93,G04209
1956530374,310.6217,33.2727,20.22,G04209
1956535253,310.7507,33.3719,17.8,G04209
1965199865,306.3538,35.1972,18.49,G04209
1967855696,301.9955,37.5516,18.35,G04209
1968076266,301.5553,38.3137,18.88,G04209
1968384719,303.2058,39.4886,18.21,G04209
1968420005,304.7529,40.2808,15.48,G04137;G04209;G04036;20SECONDTARGET
1968815987,311.5227,38.7559,18.19,G04209
1968894632,307.693,39.3727,18.43,G04209
1968903490,308.5778,40.8594,18.93,G04209
199175327,306.3521,35.198,11.07,G04209
274079438,304.7514,40.2799,10.71,G04219;G04209
311951603,303.2047,39.487,13.47,G04209
41177860,301.5513,38.3206,11.1,G04209
41899300,301.9955,37.5523,12.83,G04209
63745870,308.5778,40.8586,13.54,G04209
66140007,311.0044,40.5042,15.52,G04137;G04219;G04200;G04036;G04209;20SECONDTARGET
66713029,311.4998,38.7402,15.21,G04209
102373706,299.3664,32.1547,14.93,G04209
103493721,300.0297,33.9364,13.28,G04209
120359414,284.7624,36.7063,12.97,G04209
121608344,288.4079,37.7747,7.8,G04209;G04103
139047319,295.1651,36.0897,13.5,G04209
1715226832,285.56,34.513,18.85,G04209
1715248897,285.6923,35.449,18.9,G04209
1715296771,284.2576,35.6094,18.92,G04209
1715434329,284.7631,36.7129,18.19,G04209
1715835551,288.4596,37.649,16.5,G04137;G04200;G04209;G04036;20SECONDTARGET
184052579,295.4967,37.5575,15.46,G04209
184065812,295.5541,37.5337,14.69,G04137;G04200;G04209;20SECONDTARGET
184066300,295.6645,37.6595,7.51,G04209;G04103
1867758053,293.7078,30.8817,17.32,G04137;G04209;G04177
1868885479,298.3272,30.6808,17.92,G04209
1869535886,298.3301,31.622,18.28,G04209
1869741109,298.0789,32.6745,20.18,G04209
1869847074,299.3652,32.1538,19.26,G04209
1876088770,295.16,36.1195,19.06,G04209
1876373759,295.6693,37.6593,17.63,G04209
1965792285,300.0293,33.9356,19.95,G04209
20605548,284.2684,35.6127,13.55,G04209
21157570,285.5584,34.5131,11.01,G04219;G04209
41871932,285.6923,35.4497,11.82,G04209
