# TESS Program G05122

Title: Hunting For White-Dwarf Merger Candidates With High-Cadence Photometry

PI: Caiazzo, Ilaria - California Institute Of Technology

Type: SMALL

Summary: We propose to search for rapid photometric variability in a sample of high-mass white dwarfs to look for rotating, highly magnetized objects that can be characterized with high confidence as white dwarf merger remnants. Finding a population of bonafide white dwarf merger remnants can help us understand the properties of merger remnants and their evolution, as well as understand the origin of magnetic fields in white dwarfs. Additionally, finding the merger rate of white dwarfs below the Chandrasekhar mass can provide important constraints on type Ia supernova rates and on the rate of close double degenerate binaries that will be detected with LISA, as well as help characterize the contribution to the LISA-sensitivity curve by the low-signal-to-noise double degenerates background.


# Sector 056 targets observed (2 min: 72, 20 s: 19)
2053490561,347.7546,18.1378,18.67,G05122
2054188089,351.8481,29.0606,18.8,G05122
2000701653,332.5943,19.9536,18.61,G05122
2000704400,333.1526,20.1357,18.25,G05084;G05122
2053740102,341.9298,20.4355,18.0,G05084;G05122
407269270,336.4243,18.5881,16.47,G05122;20SECONDTARGET
2025267849,339.5811,3.9995,18.95,G05122
2052936825,347.1845,3.7882,17.19,G05084;G05122;G05081;20SECONDTARGET
2053017544,344.3578,7.9274,17.25,G05084;G05122;G05081;20SECONDTARGET
2053039517,345.1064,8.8102,18.66,G05122
2053044618,347.4613,9.6687,17.2,G05084;G05122;20SECONDTARGET
2053086269,343.0661,10.0637,18.67,G05122
2053099721,344.0728,12.4138,18.45,G05084;G05122
2052922976,350.4043,5.1565,18.81,G05122
2053221232,357.3412,9.1207,17.77,G05084;G05122;20SECONDTARGET
2053274937,353.6379,10.3129,18.82,G05122
2053517273,352.8,17.1369,18.98,G05122
2053518166,352.6312,17.3327,18.46,G05084;G05122
2005700681,336.4635,41.1302,18.21,G05084;G05122
2005835094,333.1275,42.6943,18.27,G05122
2005907305,335.3334,44.1001,17.15,G05084;G05122;20SECONDTARGET
2009659307,327.5378,47.2156,17.92,G05122;20SECONDTARGET
2012941678,337.0617,45.5762,17.77,G05122;20SECONDTARGET
2013151648,338.8592,47.7299,18.84,G05122
2041602747,340.393,41.3484,18.6,G05122
160737220,323.3892,35.4904,16.66,G05084;G05115;G05122;20SECONDTARGET
1958691409,318.5527,37.6368,18.25,G05122
2002282851,321.073,31.6755,18.85,G05122
2004411377,327.601,35.619,18.48,G05122
2004573144,323.882,34.2624,18.79,G05122
2004590431,323.0088,34.1535,18.7,G05122
2005130579,324.9602,37.8096,18.75,G05122
2000868662,332.212,22.3555,17.56,G05115;G05084;G05122;20SECONDTARGET
2002678969,333.9095,24.5384,18.57,G05122
2002859386,331.2042,25.7187,17.0,G05122;G05081;20SECONDTARGET
2003167223,328.5832,29.7286,18.81,G05122
2003289417,333.13,32.5327,18.92,G05122
2040100002,342.9948,28.5738,18.47,G05084;G05122
2040161065,346.198,30.5092,18.98,G05122
2040170032,345.6071,31.1799,17.92,G05084;G05122;20SECONDTARGET
2040448923,349.1312,33.5993,18.36,G05084;G05122
1969627177,306.7079,45.1793,18.72,G05122
1969829544,308.4851,47.3383,18.68,G05122
1971994082,305.9957,47.4207,18.24,G05122
1975101671,318.0063,49.3591,18.49,G05122
1976148109,316.5863,50.0935,18.89,G05122
1976303200,315.0971,51.7146,17.81,G05122;20SECONDTARGET
1977189290,309.9166,52.5487,17.34,G05122;20SECONDTARGET
2010938816,327.3189,48.8092,18.5,G05122
2014602313,338.5374,53.2213,17.87,G05122;20SECONDTARGET
2017757430,325.5902,54.1024,18.61,G05122
1884281102,299.9043,64.8904,18.58,G05122
1979546225,313.1472,57.9972,18.98,G05122
1979605906,316.4493,59.0534,18.05,G05084;G05122
1979887074,317.1967,61.7853,18.95,G05122
1980146848,307.7988,60.5034,18.88,G05122
1980962304,301.5813,63.2466,17.12,G05122;20SECONDTARGET
1981172661,310.0895,68.2403,18.63,G05122
1981412815,311.7871,69.59,19.0,G05122
2022167911,328.635,63.6984,18.98,G05122
2022897149,322.5791,65.0337,18.85,G05122
1883836926,298.5468,57.3168,18.94,G05122
1883916065,296.4286,59.3278,18.24,G05084;G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1718092344,288.4455,67.2775,18.83,G05122
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET
1884271318,293.3048,65.8447,18.98,G05122
1884443253,291.837,69.6369,18.78,G05122
1271353916,254.1296,76.148,18.11,G05122
