# TESS Program G05131

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 056 targets observed (2 min: 893, 20 s: 8)
217650625,345.7217,17.943,7.96,G05131
217775298,346.275,16.5616,5.68,G05131
238327537,345.2601,22.3914,7.2,G05131
243088823,349.7655,19.7317,10.03,G05131
245350105,346.3973,20.2411,6.73,G05131
245368902,346.8704,21.1339,5.71,G05131
28392901,350.5216,28.6943,6.33,G05131
28393683,350.4921,26.6084,6.19,G05131
28547600,352.8113,28.1181,9.25,G05131
331737610,354.1892,19.1831,8.35,G05131
406540069,354.7065,23.3081,6.68,G05131
436508929,348.0593,21.0651,9.47,G05131
436742211,344.4784,24.0931,8.23,G05131
436749568,344.7439,27.7459,8.11,G05131
436781440,346.2639,24.5218,6.69,G05047;G05131
436835992,347.1928,27.7584,8.07,G05131
44375376,351.8561,25.4676,7.47,G05131
91103638,349.9649,28.7301,8.2,G05131
97166469,347.7367,16.8062,8.6,G05131
210083746,339.293,17.2828,7.07,G05131
242395284,339.2152,21.748,8.58,G05131
242397892,339.1349,19.7767,9.07,G05131
242606258,340.128,20.0414,6.98,G05131
259012790,334.6337,22.7981,9.99,G05131
261200665,335.044,20.9511,9.93,G05131
279562428,335.936,18.0333,8.15,G05131
283621984,329.0366,20.0387,7.74,G05131
303132358,331.1253,15.8575,7.36,G05131
379659935,340.2553,14.0169,9.09,G05131
379660147,340.2213,14.55,5.29,G05131
404457054,333.8992,16.9496,8.48,G05131
404458336,334.0247,16.0209,8.16,G05131
404489377,334.3863,16.8102,8.27,G05131
404490513,334.5237,16.3887,7.36,G05131
404512091,334.6289,13.71,9.5,G05131
407268133,336.5191,21.0967,8.24,G05131
411428887,338.0781,18.8686,10.1,G05131
415867925,335.6946,10.711,8.29,G05131
415884328,335.8951,11.3527,8.81,G05131
419332845,340.6577,19.2244,9.5,G05131
420812659,330.626,20.5371,8.38,G05131
427691579,339.9808,15.3595,9.21,G05131
434170009,340.851,18.3526,8.26,G05131
434197226,341.3979,19.2514,7.99,G05131
43916161,339.3319,25.5472,9.89,G05131
456778027,330.2671,17.3216,9.02,G05131
456827174,332.8734,17.5194,7.46,G05131
51699914,337.0369,12.9932,8.6,G05131
51766157,337.4995,17.0769,8.29,G05131
51766264,337.4929,16.8746,8.64,G05131
51770628,337.678,17.9746,8.05,G05131
51838525,338.3057,17.7851,7.28,G05131
60713631,331.8141,17.7156,8.47,G05131
88695293,342.3221,15.2753,7.84,G05131
257163897,341.6197,7.5829,6.48,G05131
257205160,342.3432,10.6352,10.1,G05131
257223673,343.0867,11.6631,8.96,G05131
257297565,343.4381,7.9377,9.29,G05131
