# TESS Program G06027

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 070 targets observed (2 min: 53, 20 s: 10)
2052434280,354.9114,-5.5515,18.61,G06027
37697003,2.8533,-11.4786,13.19,G06027
398667560,2.9713,-6.7942,16.63,G06027
610846430,2.1847,-1.6708,17.65,G06168;G06027;20SECONDTARGET
262690645,349.1801,1.2778,14.38,G06027
301286853,351.4645,-1.6733,17.82,G06027
423324616,352.4756,6.4701,15.44,G06027
2024398006,339.6826,1.139,18.23,G06027
2052694165,346.3474,-2.4302,18.93,G06027
2052834477,345.9652,1.1142,17.38,G06027;G06168;20SECONDTARGET
224222776,343.825,-3.1779,13.2,G06027
293118284,338.6664,0.6909,17.21,G06027
33414425,344.63,-9.8256,14.85,G06027;20SECONDTARGET
49676066,351.3301,-8.3053,18.52,G06027
346897118,24.2311,7.2748,15.49,G06027
610999776,19.0574,9.3711,18.48,G06027
630610793,20.4844,14.627,18.77,G06027
405272254,1.1769,9.3005,15.83,G06027
468336669,5.8918,6.9465,14.01,G06027
468344046,6.1551,11.103,15.18,G06152;G06027
58719633,3.0188,2.0249,16.41,G06027
58765188,6.2958,12.2865,17.39,G06049;G06028;G06027;20SECONDTARGET
610957817,10.5545,7.5272,17.82,G06027
620222514,31.6394,20.9519,17.87,G06027
97328148,31.7211,15.2948,10.93,G06027;20SECONDTARGET
347346490,25.4164,6.2438,15.05,G06027
380964844,35.757,6.2804,16.73,G06027
422631972,28.7206,1.1814,15.17,G06027
422651186,28.9312,0.4687,17.42,G06035;G06027;20SECONDTARGET
318945086,42.8239,5.6297,16.47,G06027
387442918,41.901,10.5937,17.45,G06027
408746940,36.8869,13.1047,16.87,G06027
640031879,46.4939,5.7873,18.99,G06027
640148307,40.7226,6.796,16.72,G06027
118443959,37.5158,26.0779,18.21,G06027
346475513,45.2293,18.0412,14.1,G06027
371488960,43.6823,22.734,16.7,G06152;G06027
436858042,41.2409,27.5192,18.06,G06027
405417546,52.0494,28.1087,17.96,G06152;G06027;G06168;20SECONDTARGET
438266620,46.3795,23.3042,13.95,G06027
640909981,47.3742,26.6345,18.57,G06049;G06027
242987237,59.7748,17.8428,17.14,G06152;G06027;G06168;20SECONDTARGET
640098921,56.0841,9.5019,17.96,G06027
640441984,52.7685,17.4279,18.34,G06027
649938977,59.4945,10.4951,17.57,G06152;G06027;G06168;20SECONDTARGET
673384361,60.4206,8.0021,17.98,G06152;G06027;G06168;20SECONDTARGET
15853131,61.7667,18.9272,17.42,G06027
467654075,60.7829,31.1677,16.0,G06027
660156036,62.4414,22.4925,18.32,G06152;G06027
660179854,61.9252,23.0989,18.12,G06027
660279125,66.2136,23.0521,18.29,G06152;G06027
661568457,67.1546,31.966,17.82,G06027
85632561,63.3718,31.2745,16.55,G06027

