# TESS Program G06110

Title: Searching For Subdwarf B Long Orbital Period Binary Systems And Single Stars Using The Light Time Delay Method

PI: Otani, Tomomi - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Our group will use pulsation timing methods to obtain the orbital solutions of long-period subdwarf B (sdB) star binaries and search for single sdB stars. The most promising formation scenarios for sdB stars involve the evolution of close binary systems through three different channels: 1) the Common Envelope channel, which produces short-period (P = 0.1-10 d) sdB binary systems; 2) the Roche Lobe Overflow channel, which results in long-period (450 < P < 1400 d) sdB binary systems; and 3) the white-dwarf merger channel, which produces single sdB stars. Observational studies of the orbital parameters of binaries with P > 100 d and the existence of single sdB stars are incomplete using conventional methods. Therefore, pulsation timing methods are suitable for these research areas.


# Sector 070 targets observed (2 min: 4, 20 s: 4)
310937915,346.5932,2.1516,16.09,G06110;G06175;20SECONDTARGET
266013993,12.8622,9.3592,13.89,G06110;G06175;20SECONDTARGET
405212419,4.226,7.075,16.11,G06110;20SECONDTARGET
60985176,29.3662,18.4611,15.34,G06110;G06175;20SECONDTARGET

# Sector 071 targets observed (2 min: 5, 20 s: 5)
60985176,29.3662,18.4611,15.34,G06110;G06175;20SECONDTARGET
673345538,73.8135,13.0916,17.14,G06110;G06175;20SECONDTARGET
68495594,103.3512,33.0595,12.47,G06123;G06110;20SECONDTARGET
69298924,121.7362,15.4555,14.99,G06110;20SECONDTARGET
63168679,118.3714,23.4101,13.84,G06110;G06175;20SECONDTARGET

# Sector 072 targets observed (2 min: 7, 20 s: 7)
68495594,103.3512,33.0595,12.47,G06123;G06110;20SECONDTARGET
69298924,121.7362,15.4555,14.99,G06110;20SECONDTARGET
117354072,131.5499,24.4196,15.76,G06110;G06175;20SECONDTARGET
63168679,118.3714,23.4101,13.84,G06110;G06175;20SECONDTARGET
437043466,134.2053,17.0206,13.03,G06110;G06175;20SECONDTARGET
171649034,159.1622,19.8673,15.44,G06110;20SECONDTARGET
47377536,162.5116,-0.0105,13.7,G06110;G06175;20SECONDTARGET

# Sector 073 targets observed (2 min: 9, 20 s: 9)
355754830,99.9672,51.9502,12.3,G06110;G06175;20SECONDTARGET
88484868,105.8823,62.6072,13.37,G06110;G06150;G06175;20SECONDTARGET
88565376,106.7909,60.6472,15.08,G06110;20SECONDTARGET
396013351,36.8253,73.6031,14.18,G06110;G06175;20SECONDTARGET
402894814,302.8666,70.1646,14.52,G06110;G06175;20SECONDTARGET
441725813,256.2429,73.0785,11.05,G06110;G06150;G06175;G06197;20SECONDTARGET
198412771,259.3419,58.0996,16.83,G06110;G06175;20SECONDTARGET
353735596,276.2184,57.7899,16.11,G06110;G06175;20SECONDTARGET
471015194,294.617,58.4043,15.04,G06110;G06175;20SECONDTARGET

# Sector 074 targets observed (2 min: 9, 20 s: 9)
441725813,256.2429,73.0784,11.05,G06110;G06150;G06175;G06197;20SECONDTARGET
198412771,259.3419,58.0996,16.83,G06110;G06175;20SECONDTARGET
353735596,276.2184,57.7899,16.11,G06110;G06175;20SECONDTARGET
424720852,294.6354,56.1624,13.44,G06110;20SECONDTARGET
471015194,294.617,58.4043,15.04,G06110;G06175;20SECONDTARGET
