TICID,RA,Dec,Tmag,Keywords
100165164,310.593,35.4561,6.79,G04067;G04150;G04074
14200511,305.9349,37.4764,6.12,G04150;G04067;G04074
16187387,307.449,36.9803,7.57,G04150;G04067;G04074
173066803,299.98,37.0429,5.36,G04150;G04067;G04074
202752748,304.2007,32.3798,7.03,G04150;G04067;G04074
312227894,303.3875,36.3284,7.12,G04150;G04067;G04074
312232757,303.4595,36.6229,7.79,G04150;G04067;G04074
42360166,302.3568,36.8397,5.22,G04150;G04067;G04074
313146031,308.2713,31.6569,7.72,G04150;G04067;G04074
233613741,283.4363,60.0179,7.15,G04150;G04074;G04067
48022676,281.6796,52.9879,5.95,G04150;G04067;G04074
185226837,301.3569,46.6718,7.99,G04150;G04067;G04074
352556540,306.3867,54.6842,7.12,G04150;G04067;G04074
