TICID,RA,Dec,Tmag,Keywords
111187642,344.5386,-17.6934,8.02,G04026;20SECONDTARGET
111754737,344.054,-13.3276,15.9,G04200;G04137;G04036;20SECONDTARGET
188580272,343.3257,-14.2677,7.58,G04214;G04059;G04142;G04211;G04098;G04191;20SECONDTARGET
2052554960,341.7241,-9.8097,16.82,G04137;G04036;G04177;20SECONDTARGET
249648604,341.3732,-10.0459,16.83,G04137;G04200;G04036;G04209;20SECONDTARGET
301135547,349.5175,-4.913,15.72,G04137;G04200;G04036;20SECONDTARGET
301173823,349.9933,-5.1656,12.2,G04091;20SECONDTARGET
301272046,351.3482,-5.3784,11.21,G04139;G04188;G04039;G04191;20SECONDTARGET
33400382,344.4351,-7.1925,16.62,G04200;G04137;G04036;20SECONDTARGET
33423426,344.7941,-9.6338,10.74,G04139;G04039;G04191;20SECONDTARGET
434101713,353.1294,-12.2648,8.88,G04240;G04139;G04236;G04188;G04191;20SECONDTARGET
434105262,354.3765,-13.6428,16.08,G04200;G04137;G04036;G04177;20SECONDTARGET
434109369,354.8143,-12.5351,16.49,G04036;20SECONDTARGET
4383513,345.5984,-11.8031,16.88,G04137;G04200;G04036;20SECONDTARGET
4407992,345.8924,-10.5697,9.9,G04139;G04191;20SECONDTARGET
4600989,348.6799,-7.5717,15.55,G04137;G04200;G04036;20SECONDTARGET
4610830,348.949,-10.8498,11.5,G04140;G04205;G04242;20SECONDTARGET
4611797,349.1103,-8.3545,15.65,G04036;20SECONDTARGET
4612575,349.2472,-7.1605,6.28,G04104;20SECONDTARGET
471015454,345.729,-8.6683,15.99,G04036;20SECONDTARGET
49530055,349.3979,-9.0389,14.34,G04091;20SECONDTARGET
49530836,349.445,-6.4752,9.65,G04091;20SECONDTARGET
49590066,349.8517,-8.8773,13.13,G04091;20SECONDTARGET
49644773,350.787,-7.596,10.95,G04139;G04188;G04039;G04191;20SECONDTARGET
49678425,351.5346,-9.4517,11.03,G04139;G04188;G04191;20SECONDTARGET
49688670,351.9701,-6.2321,14.04,G04091;20SECONDTARGET
49711130,352.2911,-10.1018,13.57,G04091;20SECONDTARGET
49734056,352.5714,-8.6438,11.62,G04139;G04060;G04039;20SECONDTARGET
5656273,347.0821,-15.41,9.21,G04222;G04139;G04039;G04191;20SECONDTARGET
5796523,348.8777,-14.6686,15.38,G04137;G04200;G04036;20SECONDTARGET
5796540,348.8878,-14.7909,15.96,G04091;20SECONDTARGET
176079373,337.3867,-0.8063,16.46,G04091;20SECONDTARGET
176104105,337.6196,-0.3919,15.32,G04200;G04137;G04036;G04177;20SECONDTARGET
188535618,344.0338,-0.1674,10.72,G04139;G04188;G04039;20SECONDTARGET
2052695354,347.9259,-1.6892,16.84,G04137;G04200;G04036;20SECONDTARGET
2052695518,347.7713,-1.6184,17.18,G04091;20SECONDTARGET
2052758654,349.3808,-0.2683,16.91,G04137;G04200;G04036;20SECONDTARGET
2052831296,344.5227,0.1572,17.1,G04137;G04200;20SECONDTARGET
2052838394,346.1775,1.9873,16.89,G04137;G04200;G04036;20SECONDTARGET
2052887869,347.8851,1.4408,16.73,G04137;G04209;G04036;G04177;20SECONDTARGET
224222776,343.825,-3.1779,13.2,G04208;G04123;G04009;G04046;G04106;20SECONDTARGET
248052037,345.9906,-4.7946,6.15,G04104;G04191;20SECONDTARGET
250315129,339.9197,-4.9051,16.77,G04137;G04200;G04036;20SECONDTARGET
250316296,339.9816,-0.8779,14.89,G04091;20SECONDTARGET
262037159,343.2623,2.0382,16.65,G04200;G04137;G04036;20SECONDTARGET
278893586,346.6134,-0.4952,10.53,G04139;20SECONDTARGET
278966245,347.6002,-3.4004,15.71,G04091;20SECONDTARGET
278967212,347.7735,-0.3934,10.72,G04214;G04139;G04188;G04039;G04191;20SECONDTARGET
293158354,339.0128,0.1229,14.25,G04200;G04137;G04036;20SECONDTARGET
301080587,348.8319,-2.1602,15.93,G04200;G04137;20SECONDTARGET
301130845,349.0517,-1.8432,13.17,G04091;20SECONDTARGET
301134542,349.4513,-2.4641,12.18,G04209;G04036;20SECONDTARGET
301190899,350.2414,-1.7936,10.99,G04139;G04236;G04188;G04039;20SECONDTARGET
310919689,346.2516,4.2244,6.6,G04104;20SECONDTARGET
310937019,346.5548,1.9812,16.44,G04137;G04200;G04036;G04177;20SECONDTARGET
310937782,346.659,1.5858,16.09,G04091;20SECONDTARGET
310937915,346.5932,2.1516,16.09,G04091;20SECONDTARGET
311551677,343.9889,5.7535,9.39,G04142;G04209;G04191;G04006;20SECONDTARGET
38253782,344.1855,-0.2219,10.98,G04139;G04188;G04191;20SECONDTARGET
38271867,344.5768,-2.2084,16.58,G04036;20SECONDTARGET
419007914,344.2277,0.5232,10.1,G04139;20SECONDTARGET
421974388,339.2184,-4.1918,14.47,G04036;G04209;20SECONDTARGET
421995373,340.7185,1.8725,14.56,G04091;20SECONDTARGET
422046037,341.444,1.6894,10.17,G04139;G04039;G04191;20SECONDTARGET
422059840,341.6935,2.8942,16.5,G04137;G04200;G04036;20SECONDTARGET
422078719,342.0993,4.6107,16.89,G04200;G04137;G04036;20SECONDTARGET
422081421,342.3629,2.2423,15.87,G04091;20SECONDTARGET
471015439,340.271,-4.3025,14.3,G04036;20SECONDTARGET
471016459,348.6075,1.161,12.96,G04036;20SECONDTARGET
471016698,348.1664,-1.5624,13.21,G04036;20SECONDTARGET
176006117,336.2656,-2.5718,16.59,G04137;G04200;G04036;20SECONDTARGET
2024189847,335.6513,-8.4691,16.69,G04200;G04137;G04036;G04209;20SECONDTARGET
2024455113,329.6338,-6.2379,16.97,G04137;G04200;G04036;20SECONDTARGET
2024459097,328.0846,-6.2063,16.83,G04137;G04200;G04036;20SECONDTARGET
2024489963,329.835,-4.0934,14.29,G04139;20SECONDTARGET
240905045,327.9308,-5.0468,15.56,G04137;G04200;G04036;20SECONDTARGET
240951046,327.8708,-2.6376,11.33,G04139;20SECONDTARGET
241057006,328.5269,-1.2875,14.23,G04137;G04200;20SECONDTARGET
241058514,328.7039,-1.1129,15.47,G04036;G04209;20SECONDTARGET
241104752,328.672,-4.3051,15.88,G04137;G04200;G04036;G04177;20SECONDTARGET
241159653,329.2379,-1.8989,11.78,G04033;G04214;G04211;G04148;20SECONDTARGET
241160001,329.3747,-5.8657,16.09,G04137;G04200;G04036;G04177;20SECONDTARGET
241203756,329.5199,-4.6777,13.25,G04091;20SECONDTARGET
241255959,329.6625,-2.6547,16.52,G04200;G04137;G04036;G04209;20SECONDTARGET
241256067,329.6958,-2.6736,16.56,G04200;G04137;G04036;G04209;20SECONDTARGET
241351537,330.152,-2.7409,8.49,G04091;G04103;20SECONDTARGET
24352777,326.8243,-4.7446,11.21,G04033;G04214;G04139;G04211;G04148;G04039;G04191;20SECONDTARGET
248027247,332.4249,-4.6409,8.02,G04142;G04211;G04098;G04191;G04006;20SECONDTARGET
248030843,332.7207,-4.9278,16.11,G04137;G04036;20SECONDTARGET
250957244,337.8272,-6.5558,5.61,G04104;G04240;G04236;20SECONDTARGET
265740320,335.1122,2.0148,13.45,G04046;20SECONDTARGET
333372829,326.3529,-5.9037,11.15,G04214;G04139;G04039;G04191;20SECONDTARGET
