TICID,RA,Dec,Tmag,Keywords
139323704,344.5102,20.1248,10.98,G05112;20SECONDTARGET
139325612,344.5793,22.2644,11.76,G05112;20SECONDTARGET
139350516,344.8983,19.377,11.49,G05112;20SECONDTARGET
217587502,345.1771,17.6869,11.85,G05112;20SECONDTARGET
217710540,346.0737,17.6856,11.61,G05112;20SECONDTARGET
217775396,346.1426,17.658,11.34,G05112;20SECONDTARGET
243084668,349.4627,19.1543,11.39,G05112;20SECONDTARGET
405522676,344.7385,19.7203,11.64,G05112;20SECONDTARGET
432025073,351.9489,30.0714,11.24,G05112;20SECONDTARGET
435851965,343.905,22.3659,11.8,G05112;20SECONDTARGET
436480396,347.3926,22.8755,10.48,G05112;20SECONDTARGET
436485312,347.7738,22.6458,11.96,G05112;20SECONDTARGET
436508703,348.0288,21.6981,11.82,G05112;20SECONDTARGET
436513716,348.2856,19.2226,11.26,G05112;20SECONDTARGET
436514561,348.4897,19.255,8.78,G05112;20SECONDTARGET
436518665,348.6669,19.1867,11.94,G05112;20SECONDTARGET
436737765,344.2053,26.6468,10.52,G05112;20SECONDTARGET
436737816,344.3023,26.7381,11.54,G05112;20SECONDTARGET
436743770,344.5122,27.6828,11.9,G05112;20SECONDTARGET
436757909,345.2545,26.8179,11.86,G05112;20SECONDTARGET
44341910,343.8231,26.7077,11.41,G05112;20SECONDTARGET
44342247,343.9095,25.9365,11.17,G05112;20SECONDTARGET
90794433,347.3321,27.5807,11.81,G05112;20SECONDTARGET
90824055,347.5984,28.0521,11.88,G05112;20SECONDTARGET
90885363,347.845,27.8977,11.78,G05112;20SECONDTARGET
90888286,347.9479,27.4201,11.75,G05112;20SECONDTARGET
90949237,348.5005,27.8759,11.02,G05112;20SECONDTARGET
91104594,349.9297,26.6227,10.57,G05112;20SECONDTARGET
91130486,350.1671,26.6055,11.81,G05112;20SECONDTARGET
91133354,350.2551,26.5777,11.98,G05112;20SECONDTARGET
91133644,350.2135,25.8821,11.89,G05112;20SECONDTARGET
150757049,339.0005,24.205,11.47,G05112;20SECONDTARGET
150778065,339.1169,24.2194,9.91,G05112;20SECONDTARGET
2053124576,340.7037,13.5148,10.63,G05112;20SECONDTARGET
210030632,338.3381,12.7799,11.72,G05112;20SECONDTARGET
210030643,338.3631,12.8093,11.59,G05112;20SECONDTARGET
210031250,338.3543,14.488,11.54,G05112;20SECONDTARGET
210034634,338.4367,12.5036,11.47,G05112;20SECONDTARGET
210034638,338.4361,12.496,11.56,G05112;20SECONDTARGET
210034914,338.5593,12.2723,10.86,G05112;20SECONDTARGET
210035571,338.6544,14.0734,11.84,G05112;20SECONDTARGET
210039143,338.7155,12.2726,11.52,G05112;20SECONDTARGET
210039823,338.8367,13.6943,11.18,G05112;20SECONDTARGET
210040128,338.8385,14.5087,11.57,G05112;20SECONDTARGET
210080506,338.9427,14.3163,11.99,G05112;20SECONDTARGET
210080553,339.0405,14.1975,11.29,G05112;20SECONDTARGET
210080773,339.0055,13.596,10.54,G05112;20SECONDTARGET
210082070,339.0824,14.0294,10.7,G05112;20SECONDTARGET
