TICID,RA,Dec,Tmag,Keywords
1230647,137.3459,-15.589,9.08,G05003
1258935,137.5797,-15.0622,9.96,G05121
1312097,137.5885,-12.9467,13.74,G05152
1312997,137.5874,-12.2356,9.89,G05121
1318594,137.876,-15.2769,13.3,G05143
1337697,137.9542,-12.1826,7.79,G05131
1338424,137.9746,-13.6089,16.48,G05115;G05084;20SECONDTARGET
1359317,140.0062,-12.372,11.74,G05112;20SECONDTARGET
1360104,140.0925,-13.2588,16.18,G05084;G05115;20SECONDTARGET
1362343,140.1144,-17.4249,8.19,G05131
1363607,140.164,-16.1792,12.18,G05129
1363609,140.1648,-16.1777,12.49,G05129
1399933,140.2317,-15.6185,5.86,G05131
1442238,142.7374,-15.7386,8.32,G05131
1442449,142.649,-15.2591,16.55,G05115;G05084;20SECONDTARGET
1442502,142.6611,-15.1577,8.9,G05121
1445085,146.8229,-14.6873,9.46,G05121
1474551,147.0692,-14.7958,11.58,G05129
1474552,147.0674,-14.7964,11.35,G05129
242076238,139.6021,-12.9209,11.63,G05112;20SECONDTARGET
242076868,139.5576,-14.4318,9.52,G05131
277533870,140.1823,-5.7547,7.96,G05144;20SECONDTARGET
289600366,145.9328,-17.7836,11.03,G05152;G05109;G05087;20SECONDTARGET
289600809,145.8964,-16.7008,11.6,G05106;G05152
289667412,145.9278,-13.8889,9.8,G05121
289668154,145.9232,-11.99,17.75,G05115;G05084;20SECONDTARGET
289668177,146.0587,-11.8727,8.66,G05121
289668400,145.986,-12.5304,9.54,G05106
289669151,146.0222,-14.386,11.7,G05112;20SECONDTARGET
289670788,146.1332,-17.6668,10.18,G05003
289706625,146.2236,-12.3482,10.42,G05106;G05152
289707566,146.2239,-14.5815,11.15,G05112;20SECONDTARGET
289710182,146.375,-15.2624,14.21,G05152
289735427,146.7078,-16.5466,7.39,G05131
289736264,146.6066,-14.5282,8.79,G05071
293520466,142.8384,-17.3014,14.73,G05057
293520468,142.8405,-17.2961,13.54,G05087;G05103;20SECONDTARGET
293521985,142.8358,-13.4884,7.8,G05121
293522346,142.8614,-12.5994,16.05,G05057
293524584,142.9331,-16.9054,12.56,G05152
293565244,147.1851,-12.513,12.88,G05152
293841545,141.3995,-5.8769,7.01,G05131
296657146,141.6787,-14.4916,7.28,G05144;20SECONDTARGET
296723589,141.7702,-13.7006,11.69,G05129
296723590,141.7718,-13.7007,11.32,G05129
296723903,141.787,-14.3353,9.42,G05121
296727317,141.9749,-14.8687,6.95,G05131
296729204,142.1184,-12.9597,16.88,G05084;G05115;20SECONDTARGET
296735732,142.1449,-16.5239,7.31,G05131
296737508,142.1793,-14.6865,9.2,G05121
296780789,142.3468,-14.5119,12.52,G05064;G05003;20SECONDTARGET
296782018,142.3137,-17.0508,9.01,G05131
296782690,142.4313,-17.5487,15.7,G05115;G05084;20SECONDTARGET
296785669,142.5341,-12.5403,13.54,G05152
299967937,139.076,-12.3367,11.84,G05112;20SECONDTARGET
299967989,139.0476,-12.4864,11.69,G05112;20SECONDTARGET
305509312,138.9534,-16.4049,10.14,G05131
305536347,138.9815,-12.236,8.2,G05003
305536358,138.9745,-12.2177,12.41,G05003
305540356,139.5019,-16.9993,9.06,G05131
305565493,139.4491,-13.6093,11.62,G05152
305566384,139.4349,-11.9602,11.33,G05112;20SECONDTARGET
307799993,138.1635,-15.6906,12.57,G05129
307799997,138.1596,-15.6962,11.17,G05129
307802492,138.3791,-15.8215,9.65,G05131
307934757,138.7842,-15.9105,14.68,G05057
33167874,148.4821,-10.5867,7.84,G05131
33174446,148.7583,-9.5588,8.96,G05131
33220570,148.7907,-11.2818,13.56,G05152
33221508,148.9538,-9.9449,11.39,G05112;20SECONDTARGET
332515563,136.6043,-15.2662,9.81,G05121
33257042,149.1261,-9.5558,11.99,G05112;20SECONDTARGET
33257294,149.1586,-8.8337,7.84,G05144;20SECONDTARGET
33259771,149.2749,-10.7026,12.79,G05152
332635187,137.1246,-14.9359,9.78,G05121
332635310,137.1016,-15.1461,6.69,G05144;G05131;20SECONDTARGET
332654763,149.6941,-12.5132,11.93,G05129
332654765,149.6953,-12.5093,12.47,G05129
332654913,149.7777,-11.9873,15.81,G05057
33301586,149.7247,-11.2472,12.56,G05106
33301713,149.7551,-11.59,16.93,G05084;G05115;G05081;20SECONDTARGET
33318760,150.1742,-11.8597,15.46,G05097;G05148;G05057;20SECONDTARGET
334510708,140.732,-16.5647,15.56,G05084;G05115;G05081;20SECONDTARGET
334511078,140.6959,-15.7917,13.02,G05107;G05152;20SECONDTARGET
334511232,140.7367,-15.4962,7.86,G05144;20SECONDTARGET
334511323,140.6921,-15.28,9.77,G05131
334631792,141.2899,-14.1896,15.73,G05084;G05115;G05081;20SECONDTARGET
334632624,141.3478,-15.9223,8.67,G05144;20SECONDTARGET
348882376,148.4174,-15.8148,16.33,G05084;G05115;20SECONDTARGET
