# TESS Program G011113
            
Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
115042302,315.8108,-38.1614,15.11,G011113
115108925,316.6341,-39.6001,15.04,G011113;G011294
126910998,317.9055,-42.9701,14.11,G011113;G011203
147113919,321.6743,-44.5612,14.26,G011113
159746320,319.3542,-37.4087,15.55,G011113
320940332,324.705,-40.6907,13.8,G011113;G011294
320965107,325.098,-36.6327,15.69,G011113;G011288
320965407,325.0742,-37.7118,15.85,G011113;G011288
389662085,323.3993,-44.7467,15.3,G011113
152926212,338.4754,-38.545,15.92,G011113;G011294
197732798,330.3995,-37.8717,13.72,G011113;G011288
197735254,330.619,-41.2422,15.34,G011113;G011294
207082276,331.8671,-36.7253,15.32,G011113;G011288
214873843,341.7231,-38.9479,16.26,G011113;G011288
229037897,330.007,-33.2136,15.7,G011113;G011288
270565368,329.0909,-34.3382,14.09,G011113;G011288
278615066,333.6514,-38.9873,15.36,G011113
278772261,335.3565,-41.425,15.4,G011113;G011294
471013512,336.8372,-34.1872,14.8,G011113
471013572,334.4414,-37.4286,15.9,G011113;G011288
63281499,337.2428,-31.0986,15.69,G011113
152251299,328.7225,-30.4885,15.16,G011113;G011294;G011288
206409213,330.3082,-22.1209,15.02,G011113;G011288
206537232,332.9071,-22.9188,14.68,G011113;G011288
393891914,330.6614,-28.1617,15.59,G011113;G011288
441197076,335.3502,-26.8481,14.79,G011113;G011294;G011288
471013571,333.8113,-27.7067,15.9,G011113;G011294;G011288
53851007,327.9157,-28.9488,15.92,G011113;G011288
80083663,331.1449,-30.0186,13.82,G011113;G011203
99673513,321.6102,-22.7324,15.51,G011113
99730808,321.9297,-22.1969,15.39,G011113;G011294;G011294
99768342,322.5003,-21.9018,13.45,G011113
152250936,312.3783,-30.0846,14.78,G011113
211352467,320.4453,-33.1799,13.81,G011113
212254842,308.7274,-27.5803,15.01,G011113;G011294
289934729,318.1698,-29.3724,15.15,G011113
29257211,312.7508,-24.8687,15.32,G011113;G011294
29477026,314.0288,-24.3599,15.38,G011113
302299317,320.3408,-25.9551,13.17,G011113
302333352,320.4374,-27.0367,13.26,G011113;G011203
441357923,309.6589,-33.4431,14.77,G011113;G011294
219331395,336.9122,-56.1444,15.29,G011113
237313246,343.7951,-63.1759,14.27,G011113;G011294
237313550,343.7475,-62.0359,14.66,G011113;G011294
238815671,328.0499,-63.5445,15.33,G011113
265592319,332.0927,-58.4095,12.7,G011113
394015496,329.5996,-58.8982,13.86,G011113;G011203
394521800,334.9538,-65.4915,14.56,G011113;G011294;G011203
403221905,338.882,-57.274,15.29,G011113;G011294
