# TESS Program G011132
            
Title: Hunting For Hierarchical Multiple Planetary Systems With Tess

PI: Huang, Xu - Massachusetts Institute Of Technology

Type: N/A

Summary: Hierarchical multi-planet systems probe the formation and co-evolution of giant planets and their smaller companions. Only a dozen transiting hierarchical multi-planet systems (systems with giant planets and Super Earths) have been discovered so far. We propose to survey for hierarchical multi-planet systems with TESS. This project is expected to yield hundreds of transiting hierarchical multi-planet systems in the Full Frame Images, dozens of transiting companions in known giant planet systems, and a few tens of non-transiting companions in new planetary systems around TESS core science targets. Many of the systems from this survey will be around bright stars, for which we will conduct spectroscopic follow up studies on their eccentricity, obliquity and atmospheric properties.            


# Sector 001 targets observed (28)
197686484,329.3334,-37.7642,6.96,G011183;G011132;G011250
70440470,339.4893,-35.1542,12.72,G011112;G011132
97409519,332.7143,-30.7497,12.14,G011112;G011183;G011132
25375553,328.7677,-22.6126,9.77,G011112;G011132
270501383,324.5352,-31.7379,8.05,G011183;G011132;G011250
53895723,328.1519,-26.0273,8.15,G011183;G011025;G011132;G011250
289793076,316.9615,-26.0967,13.1,G011112;G011183;G011132
29344935,313.2155,-25.6874,13.18,G011112;G011183;G011132
336732616,312.4575,-24.4287,11.46,G011112;G011183;G011132
92352620,313.7833,-34.1358,9.64,G011112;G011183;G011132;G011132
92352621,313.7882,-34.1355,9.99,G011183;G011132;G011132
280803137,359.7166,-61.5869,7.53,G011183;G011132;G011048;G011250
281461362,6.0853,-56.65,8.43,G011183;G011132;G011048;G011250
144065872,337.4579,-48.0031,9.48,G011112;G011183;G011132;G011122
144068704,337.7506,-49.4343,6.24,G011183;G011132;G011048;G011250
161314759,343.4097,-48.5988,5.55,G011183;G011132;G011048
231663901,318.737,-55.8718,12.35,G011112;G011183;G011132
281459670,5.6185,-59.9426,11.63,G011112;G011183;G011132
355703913,0.7745,-62.4693,13.13,G011112;G011183;G011132
238176110,357.8467,-70.1529,10.99,G011112;G011183;G011132
277774779,343.6639,-70.0733,5.62,G011183;G011132;G011048
325178933,354.5318,-70.9032,6.54,G011183;G011132;G011184
290543478,4.0655,-79.8515,5.74,G011183;G011132;G011176
237933846,58.9577,-65.1863,7.25,G011183;G011132;G011250
388104525,55.9337,-65.1938,11.55,G011112;G011183;G011132
38846515,68.9599,-64.027,10.31,G011112;G011183;G011132
261136679,84.3009,-80.4637,5.1,G011183;G011132;G011048;G011250
149603524,87.1398,-63.9883,9.72,G011112;G011183;G011132

# Sector 002 targets observed (31)
47526465,343.9751,-26.6597,7.39,G011183;G011132;G011250
114807081,359.9751,-22.4279,7.66,G011183;G011025;G011132;G011048;G011250
211438925,5.1606,-23.9358,10.21,G011112;G011183;G011132
77044471,358.5589,-30.013,13.2,G011112;G011183;G011132
77044472,358.5577,-30.009,15.81,G011132
204317710,346.075,-21.272,13.68,G011112;G011183;G011132
204376737,348.1571,-22.6742,11.41,G011112;G011183;G011132
160148385,1.0466,-47.3606,11.86,G011112;G011183;G011132
200658785,2.4694,-50.2679,7.75,G011183;G011132;G011250
281461362,6.0853,-56.65,8.43,G011183;G011132;G011048;G011250
