# TESS Program G022171

Title: Confronting The Stellar Gyrochronology Paradigm Using Wide Binaries In The TESS Fields

PI: Oswalt, Terry - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Essential to understanding the history of the Galaxy's stellar populations, ages are among the most difficult to measure properties of stars. Accurate ages provide leverage on problems ranging from exoplanet habitability to the Galaxy's chemical evolution and age. Gyrochronology, an empirical relation between rotation and age, is believed to be among the best current methods of stellar age determination. We propose to test several competing gyrochronology models using wide binaries in the TESS fields. Such pairs can help unravel and quantify the rotation-activity-metallicity vs. age relations for main sequence stars. They span a much broader range in age and metallicity than stellar clusters, which often have mixed populations and have lost low mass stars.


# Sector 014 targets observed (65)
171502734,298.9365,40.3917,7.4,G022062;G022171
171977235,299.3078,40.3678,5.54,G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
193392248,305.7318,42.9838,5.46,G022171
64804337,309.6689,38.634,6.18,G022171;G022080;G022106;G022032
20352516,283.7188,33.9686,5.18,G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
28569279,282.52,33.3626,6.88,G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25;G_TMAG_3.560
29715050,288.0962,30.3497,9.21,G022171
42812942,287.2686,34.6014,6.12,G022103;G022171;G022062
42812945,287.2633,34.6009,7.4,G022171;G022080;G022053
68627037,281.1282,33.996,7.34,G022171
388219627,300.0346,17.6108,5.51,G022171
95541810,294.3226,16.4629,4.83,G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
331735502,311.2052,23.1853,8.83,G022171
229438448,293.292,60.1587,4.84,G022171
365050367,298.3981,59.709,6.06,G022171
21179665,275.9379,51.6495,8.19,G022062;G022171
229686919,263.0682,55.1732,4.61,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
229686929,263.0454,55.1845,4.66,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
232644906,281.5613,56.4953,10.45,G022171
232644908,281.586,56.4966,10.01,G022171
233719052,276.4655,60.4792,8.07,G022171
389917321,275.9767,58.8021,7.45,G022171
389917323,275.9771,58.8011,5.03,G022133;G022171;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
120258315,284.5079,38.2662,5.98,G022062;G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
123236781,281.2653,46.1355,7.88,G022171
157895643,280.819,39.3,5.01,G022171
289456142,278.3105,40.1599,6.71,G022171
377726271,282.8971,37.6441,9.81,G022171
47730697,279.6528,49.012,8.9,G022171
47730698,279.633,49.0098,10.12,G022171
26489741,291.7002,50.1459,6.88,G022062;G022171
267746920,290.1313,50.3404,5.95,G022171
27014182,294.1105,50.2225,4.17,G022133;G022040;G022103;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
