# TESS Program G022028

Title: White Dwarf Variability In The Ecliptic North

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose 2-min-cadence observations of 1346 white dwarfs visible in Cycle 2 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed observations will also enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. From both asteroseismology and spot modulation of magnetic white dwarfs we will significantly expand the number of white dwarfs with measured rotation rates, placing strong constraints on the endpoints of angular momentum in stars.


# Sector 014 targets observed (186)
135859903,305.2864,31.4763,16.15,G022077;G022028
15560205,307.0073,40.9404,16.9,G022028
16200170,307.4851,39.2261,13.68,G022077;G022028;G022017
171410228,298.8626,37.582,16.05,G022028
17373558,308.3413,39.9022,15.82,G022077;G022028
184065812,295.5541,37.5335,14.69,G022077;G022028;G022017
193034150,304.9524,42.554,16.36,G022077;G022028
199179022,306.4471,35.9032,15.5,G022077;G022028;G022217
203054851,304.6163,35.5214,15.9,G022077;G022028;G022217
311948770,303.2892,40.0402,13.96,G022077;G022028;G022217;G022017
380298520,303.4311,34.2326,15.7,G022028
42848109,302.6732,36.8829,15.88,G022028
92633917,303.093,31.2307,14.99,G022077;G022028;G022017
92645042,303.0059,32.7939,16.79,G022028
120968638,286.8228,36.6669,15.32,G022077;G022028;G022217
121608605,288.4605,37.6497,18.39,G022028
20609183,284.376,33.9591,14.68,G022077;G022028;G022017
281946893,286.6462,27.3923,16.25,G022077;G022028
28765917,282.8332,33.185,15.6,G022028
29008855,283.3932,33.0304,15.85,G022028
29898428,288.3088,34.7344,15.98,G022077;G022028
30259477,289.1651,34.9795,16.56,G022028;G022217
30714849,289.7094,33.6008,15.59,G022077;G022028
394178499,289.7445,38.7213,14.14,G022077;G022028;G022176;G022017
403988281,289.3353,27.1378,15.42,G022077;G022028;G022217
42550954,286.8014,32.281,16.09,G022077;G022028;G022217
451788628,286.8616,28.1288,15.74,G022028
69690429,294.6171,32.8881,13.85,G022077;G022028;G022017
110986269,291.6955,24.4871,16.45,G022028
11626063,298.1162,25.1589,15.17,G022028;G022077
11716579,298.2395,24.2248,16.03,G022077;G022028;G022217
213491238,294.0774,26.5488,13.98,G022077;G022028
213727991,294.3097,27.723,18.59,G022028
214808877,294.6919,26.7983,11.74,G022028;G022217
338305380,290.4182,14.6778,13.18,G022077;G022028;G022017
344063283,296.3825,16.4591,15.64,G022028;G022217
358581268,290.997,21.6839,14.5,G022028
359815241,295.7535,20.214,14.56,G022028
360184824,295.8902,22.4205,15.58,G022028
361215958,296.2447,22.7655,18.24,G022028
373345692,293.4588,18.8676,14.46,G022028;G022217
282764015,312.3462,26.4216,16.48,G022028;G022217
288941859,305.219,22.7614,16.98,G022028
298186852,308.5888,25.0608,11.79,G022077;G022028;G022017
314167396,304.9205,19.7914,16.14,G022077;G022028
402959206,305.5657,22.719,15.86,G022077;G022028
417131337,308.0422,21.9032,15.05,G022077;G022028
229485883,295.9173,60.4837,16.04,G022028
229966905,289.5996,59.9981,15.17,G022077;G022028;G022017
