# TESS Program G022062

Title: Eclipsing Binary Stars: Indispensable Astrophysical Labs

PI: Prsa, Andrej - Villanova University

Type: LARGE

Summary: Eclipsing binary stars (EBs) have served as principal gauges of fundamental stellar properties: the benchmark-grade systems allow an accuracy in masses and radii to exceed 2%, in turn providing stringent constraints on stellar evolution models. This is a multi-faceted proposal that builds on three principal aims: (1) extract known EB light curves from full-frame images; (2) run a search for unknown EBs within the full-frame images and extract their light curves; and (3) acquire 2-min cadence observations for a priority-sorted list of EBs that will serve as calibration standards, galactic population tracers and follow-up of well-studied, important systems, especially those observed by Kepler.


# Sector 014 targets observed (710)
102604645,299.5903,35.2016,7.91,G022071;G022062
104909909,300.6063,35.6698,9.91,G022062
106222137,301.1107,34.1122,7.76,G022062
11119600,303.8232,37.5289,11.39,G022062
12029932,304.3491,36.1268,9.28,G022062
12494582,304.5394,38.3077,9.79,G022062
12578537,304.8405,40.8879,7.05,G022062
12672792,304.8851,38.7316,7.38,G022062;G022020
12915124,304.9871,37.8353,11.34,G022062
12921082,305.0891,38.6999,8.97,G022062
13118768,305.2128,39.0126,8.73,G022062
13123877,305.1962,38.2852,8.2,G022062
13252446,305.314,37.4086,6.93,G022062
13693636,305.5958,37.2155,10.46,G022062
13780749,305.6743,38.177,9.93,G022062
138642518,294.287,40.2136,7.4,G022103;G022062
138725470,294.7917,40.8708,9.4,G022062
138726174,294.7815,40.6268,7.83,G022062
138888894,294.9443,38.6301,11.82,G022062
138893145,294.9364,39.8524,10.15,G022062
138960108,294.9298,40.147,11.12,G022062
138961291,294.9404,40.4965,11.71,G022062
138968089,295.1011,40.9867,11.65,G022062
138971570,295.2174,39.91,11.4,G022062
139037047,295.2029,38.5195,9.41,G022062
139154971,295.3361,40.3922,8.95,G022062
139157339,295.2703,41.0241,11.77,G022062
13968858,305.7951,39.1623,8.92,G022062
13973539,305.762,38.4558,8.87,G022062;G022172
14085632,305.7219,37.1128,10.05,G022062
14207118,305.9624,38.4928,8.18,G022062
14323558,306.0806,40.5611,8.97,G022062
14411083,306.1051,38.4852,9.99,G022062
14617089,306.3157,37.5549,11.94,G022062
14619997,306.262,38.0429,9.15,G022062
14841333,306.3786,37.593,8.87,G022062
14841673,306.4546,37.5384,8.06,G022062
14842608,306.4192,37.3741,8.34,G022062
15072015,306.5872,39.6694,8.29,G022062
15795549,307.2119,39.1538,10.56,G022062
161563111,309.3338,35.4361,8.57,G022062
16316642,307.6137,41.2236,9.88,G022062
16728252,307.7939,41.5315,9.51,G022062
16734598,307.9063,41.2225,8.27,G022062
168813467,296.9679,40.9268,9.76,G022062
169079394,297.1154,40.0241,10.71,G022062
169081296,297.0699,40.5252,9.85,G022062;G022053
169181296,297.2698,40.4102,11.84,G022062
169183353,297.3173,39.8781,10.4,G022062
169458450,297.4004,40.1495,11.37,G022062
169461816,297.4537,41.011,10.93,G022062;G022053
169467727,297.5255,41.2618,10.79,G022062
169814134,297.6401,40.236,11.13,G022062
169819162,297.6764,41.4285,12.17,G022062
169820068,297.7571,41.6805,11.58,G022062;G022204
170234196,297.9279,40.0549,8.86,G022062
170246384,297.9813,41.4449,11.53,G022062;G022204
