# TESS Program G03102

Title: Confronting The Stellar Gyrochronology Paradigm Using Wide Binaries In The TESS Cycle 3 Fields

PI: Oswalt, Terry - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Accurate ages provide essential constraints on questions ranging from exoplanet habitability to the Galaxy's chemical evolution. Gyrochronology, an empirical relation between rotation and age, is potentially one of the best ways to determine stellar ages. We propose to test several competing gyrochronology models using wide stellar binaries in the TESS Cycle 3 fields. Such noninteracting coeval pairs can help unravel degeneracies in the rotation-activity-metallicity vs. age relations for main sequence stars. Moreover, they span a much broader range in age and metallicity than stellar clusters, which often have mixed populations and have lost low mass stars. The project will also compare flaring rates from the TESS data and chromospheric activity using LAMOST spectra.


# Sector 027 targets observed (2 min: 596, 20 s: 4)
128879552,300.7484,-47.4617,11.3,G03102
128879556,300.7487,-47.4648,11.29,G03102
129036595,301.7766,-45.5506,11.07,G03102
129036596,301.7815,-45.5527,9.85,G03102
143289124,293.5035,-44.204,9.96,G03102
143397930,294.3508,-46.0617,12.9,G03102
1820817370,287.7808,-40.7743,12.32,G03102
1923973311,293.5039,-44.2044,10.62,G03102
1923973312,293.5033,-44.2039,10.36,G03102
1924793564,299.642,-39.8053,12.28,G03102
254219445,287.7815,-40.7748,10.66,G03102
300664197,299.6426,-39.8059,10.0,G03102
423184158,293.3404,-50.8689,12.58,G03102
423184161,293.3678,-50.8642,12.25,G03102
424842644,291.1273,-50.1909,10.04,G03102
424842653,291.1275,-50.1995,12.64,G03102
425803170,294.3902,-46.0771,11.12,G03102
441259664,295.2855,-39.9738,12.2,G03102
441259667,295.2848,-39.9746,12.83,G03102
126564554,314.0099,-42.2315,12.53,G03102
126564556,314.0131,-42.2233,9.91,G03102
126873403,317.3354,-42.2785,12.32,G03102
126873404,317.334,-42.2785,11.03,G03102
139115449,319.9813,-45.3825,11.58,G03102
139115452,319.9795,-45.38,11.58,G03102
1990804159,309.2752,-40.9008,12.42,G03102
1990804161,309.2752,-40.9004,12.35,G03102
1990868119,308.8043,-38.4439,11.72,G03102
200643459,320.4677,-45.4484,11.16,G03102
200643460,320.47,-45.4473,12.03,G03102
290596726,306.8973,-40.3646,12.85,G03102
290596728,306.8959,-40.3635,10.28,G03102
290924713,308.8033,-38.4436,10.97,G03102
290974391,309.2751,-40.9006,11.57,G03102
369984911,306.3059,-47.4906,12.65,G03102
369984913,306.3074,-47.4913,11.32,G03102
389348810,310.9147,-38.77,12.19,G03102
389348811,310.9274,-38.7693,12.75,G03102
90935007,308.2271,-45.5057,10.31,G03102
90935009,308.2235,-45.5054,11.44,G03102
90952331,308.3783,-47.5797,12.63,G03102
90952332,308.3794,-47.5799,12.76,G03102
91015612,308.8419,-46.6363,12.8,G03102
91015630,308.8435,-46.6212,11.35,G03102
91045352,309.3429,-42.0383,11.61,G03102
91045353,309.3487,-42.0394,9.43,G03102
91192662,310.4547,-42.2021,9.97,G03102
91192674,310.4728,-42.1906,12.79,G03102
91194226,310.6344,-44.4024,11.19,G03102
91194228,310.6254,-44.4039,12.24,G03102
91313585,311.6314,-46.6552,11.73,G03102
91313587,311.6299,-46.6568,12.8,G03102
164325726,304.8089,-26.1677,11.28,G03102
