# TESS Program G03202

Title: A Systematic Study Of Flares On Low Mass Stars Using 20-Second Cadence Data

PI: Paudel, Rishi - University Of Maryland (Baltimore County)

Type: SMALL

Summary: We propose to use TESS 20-second cadence data to study flares on 976 low mass stars which are known to exhibit flares during TESS Cycle 1. This is the first time a large and systematic study of the flares on low mass stars will be performed using higher cadence data. We will use this data to i) study flare frequency distributions (FFDs) for a wider range of flare energies than previously observed by the Kepler and TESS missions, ii) examine if FFDs of some flaring stars follow broken power laws, iii) study variation of flare rates as a function of spectral types and ages, iv) develop flare model based on more precise rise and decay time scales, and v) develop flare analysis software 'xoflare' which will make flare studies more convenient in future.


# Sector 027 targets observed (2 min: 218, 20 s: 52)
115190256,317.4667,-39.8385,12.56,G03202;G03052
126805047,317.1597,-42.7489,11.94,G03202;G03226
126945045,318.6401,-42.2319,13.15,G03202;G03226
389426731,312.2914,-40.2017,9.91,G03250;G03202;20SECONDTARGET
269829656,308.407,-25.9482,11.63,G03226;G03202
270038761,311.7142,-28.4873,11.42,G03174;G03272;G03202;G03274;20SECONDTARGET
441398770,310.4646,-32.4375,7.4,G03063;G03205;G03174;G03228;G03226;G03202;20SECONDTARGET
441420236,311.2916,-31.343,6.75,G03263;G03273;G03141;G03063;G03205;G03272;G03227;G03228;G03226;G03202;20SECONDTARGET
48788704,301.9522,-31.7624,9.88,G03202;G03228;G03274
89257479,312.5697,-34.4135,10.65,G03174;G03250;G03228;G03202;G03274;20SECONDTARGET
339663103,298.5196,-64.6375,11.59,G03202;G03274
351473570,308.7236,-63.7982,10.8,G03202
396088793,297.0583,-67.1288,12.94,G03202;G03274
232062375,339.6354,-65.3794,8.89,G03202
259845346,324.2873,-60.6021,11.21,G03174;G03226;G03202;20SECONDTARGET
370282727,336.1028,-58.4373,12.21,G03202;G03052
389051009,333.4618,-63.7018,13.03,G03225;G03250;G03202;G03274;20SECONDTARGET
406277015,326.126,-60.978,9.99,G03226;G03202
419610509,320.3535,-66.9165,8.09,G03205;G03227;G03202;20SECONDTARGET
471012589,339.6353,-65.3792,9.12,G03226;G03202
201688405,300.5566,-54.4343,13.84,G03225;G03279;G03202;G03274
339397736,295.7912,-60.283,12.11,G03202
387220832,304.9573,-58.2807,12.91,G03225;G03226;G03202;G03274
410344317,299.9956,-55.8272,12.1,G03202;G03274
411956826,290.7112,-63.1832,11.0,G03226;G03202
424881692,291.5034,-53.5246,11.25,G03202
229807000,352.2413,-68.0432,10.8,G03174;G03272;G03202;G03226;20SECONDTARGET
229807051,352.3241,-67.8337,12.5,G03205;G03202;G03226;20SECONDTARGET
238176832,358.3606,-70.9446,10.32,G03174;G03205;G03250;G03272;G03228;G03202;G03226;G03274;20SECONDTARGET
260889990,350.1971,-67.3899,11.38,G03174;G03226;G03202;20SECONDTARGET
266923326,1.5225,-77.9355,12.02,G03202
266998480,3.7578,-72.8432,9.91,G03174;G03205;G03272;G03226;G03202;20SECONDTARGET
273416539,341.6458,-73.8977,11.17,G03174;G03226;G03202;20SECONDTARGET
273512747,347.458,-74.1315,10.98,G03174;G03202;G03274;20SECONDTARGET
293507177,351.546,-73.3976,10.12,G03205;G03272;G03226;G03202;20SECONDTARGET
