# TESS Program G03252

Title: TESS High-Frequency A-F Pulsators: Understanding The Driving Of Oscillations In Intermediate-Mass Stars

PI: Hambleton, Kelly - Villanova University

Type: LARGE

Summary: Delta Scuti and roAp stars are classes of pulsators sharing the same region of the HR diagram. For decades their pulsations were thought to have different origins, but data from TESS revealed an apparent overlap in their pulsation properties questioning our understanding of the excitation mechanisms at work. We propose to: 1) characterize the statistical distributions of the scaled pulsation frequencies in these pulsators, including the determination of the so far unknown high-frequency end of the roAp star phenomena and; 2) establish whether hybrid delta Scuti-roAp stars exist. These results, which will be key to advance our understanding of the origin of the pulsation in this region of the HR diagram, can now be achieved thanks to the survey-nature of TESS and its 20-sec cadence mode.


# Sector 027 targets observed (2 min: 288, 20 s: 26)
128790295,300.1938,-43.1037,10.27,G03252
128798617,300.404,-42.4078,9.14,G03255;G03252
129211570,303.0932,-46.1667,8.91,G03252
129277739,303.4771,-46.5565,9.37,G03255;G03252
143407568,294.6403,-42.6812,10.98,G03255;G03252
143463658,294.9239,-45.2785,5.97,G03255;G03252
254241386,288.269,-40.7842,8.99,G03252
261283553,292.4653,-44.042,10.77,G03252
300355974,298.4271,-41.1132,9.11,G03252
369843853,295.1273,-42.4689,9.43,G03255;G03252
369845536,295.0325,-44.3359,12.9,G03255;G03252;20SECONDTARGET
369871758,295.0263,-46.9075,9.32,G03252;20SECONDTARGET
421361060,292.8134,-43.7048,11.58,G03252
421364015,292.9069,-43.0098,10.74,G03252
423159418,287.8009,-49.8043,8.84,G03255;G03252
441279024,295.4396,-41.1767,9.59,G03255;G03252
61213676,287.0537,-46.3502,9.49,G03252
61269826,287.2187,-44.5868,10.88,G03252
61327770,287.3852,-46.769,9.46,G03255;G03252
61382657,287.7181,-46.6092,9.69,G03252
61514107,288.0208,-46.683,9.52,G03252
61811090,289.3561,-42.681,8.67,G03252
61811148,289.3887,-42.7022,10.72,G03255;G03252
61851468,289.306,-45.7676,10.96,G03252
62184518,290.8481,-45.0329,9.38,G03252
79659787,295.6728,-46.0474,8.03,G03255;G03252
79662102,295.6741,-43.3128,12.51,G03252
80018447,297.7514,-44.9776,10.61,G03255;G03252
8170267,301.3165,-40.4773,10.3,G03252
98186354,290.3128,-41.4927,9.72,G03252
115188953,317.3935,-41.0013,10.8,G03252
126563746,313.9865,-43.9117,10.47,G03252
126659093,315.1466,-42.6557,9.26,G03255;G03252
126917153,318.637,-46.2323,11.44,G03252
129570681,305.4865,-47.7236,9.85,G03252;20SECONDTARGET
290323441,305.2449,-39.1818,8.89,G03252
290755643,307.6905,-38.5781,8.85,G03252;20SECONDTARGET
290867431,308.6533,-41.8147,10.54,G03252
291064596,309.6219,-41.7056,11.05,G03252
369983237,306.3012,-44.3931,11.05,G03252
369986531,307.3772,-45.3829,8.13,G03252;20SECONDTARGET
369986683,307.3022,-45.1207,10.61,G03252
469844770,314.4422,-48.0591,9.62,G03255;G03252
90849283,307.7371,-42.2107,10.08,G03252
91018425,308.8648,-43.9742,11.55,G03255;G03252
164328483,304.8482,-29.6239,7.7,G03252
290477903,306.0728,-37.0825,10.65,G03252
291112607,309.9688,-36.0338,6.85,G03255;G03252
