# TESS Program G04036

Title: A Search For Transiting Exoplanets In The Habitable Zones Of White Dwarfs

PI: Kunimoto, Michelle - Massachusetts Institute Of Technology

Type: SMALL

Summary: White dwarfs are intriguing targets for the search and characterization of habitable exoplanets. Rocky planets in the habitable zones of white dwarfs should be exceptional targets for follow-up atmospheric characterization, and their existence would have important implications for planetary survival and evolution through the post-main sequence lifetime of the star. However, their short transit durations of only a few minutes necessitate high-speed observations. By observing more than 2500 white dwarfs visible in Cycle 4 of the TESS mission at 20-second cadence, we will be able to identify small planets and remnants of planetary systems around white dwarfs, and substantially improve understanding of white dwarf exoplanet demographics.


# Sector 040 targets observed (2 min: 373, 20 s: 373)
120182015,284.3392,38.2999,16.91,G04036;20SECONDTARGET
120968638,286.8228,36.6669,15.32,G04200;G04137;G04036;G04177;20SECONDTARGET
122131602,289.5769,37.9119,16.05,G04036;20SECONDTARGET
137218989,291.5661,38.5665,16.49,G04036;20SECONDTARGET
137485135,292.1074,38.2952,16.52,G04036;20SECONDTARGET
1713691071,284.4856,31.7956,16.78,G04244;G04137;G04200;G04036;20SECONDTARGET
1714144147,285.2728,31.932,16.93,G04137;G04200;G04036;20SECONDTARGET
1715150235,284.4889,33.8845,16.81,G04137;G04200;G04036;20SECONDTARGET
1715801474,286.1867,37.1994,16.81,G04137;G04200;G04036;G04177;20SECONDTARGET
1715835551,288.4596,37.649,16.5,G04137;G04200;G04209;G04036;20SECONDTARGET
1876592088,292.0743,35.7452,16.6,G04137;G04200;G04036;20SECONDTARGET
21487028,291.9439,30.7648,16.62,G04036;20SECONDTARGET
21966634,292.5865,34.537,16.78,G04036;20SECONDTARGET
22180388,292.8089,35.6215,16.85,G04036;20SECONDTARGET
22255920,292.8436,32.8496,14.9,G04036;20SECONDTARGET
24341835,291.101,31.9352,16.94,G04036;20SECONDTARGET
264956566,286.3054,28.2747,16.59,G04036;20SECONDTARGET
281946893,286.6462,27.3924,16.25,G04137;G04200;G04036;20SECONDTARGET
30058805,288.5904,34.7933,16.92,G04036;G04137;20SECONDTARGET
30259477,289.1651,34.9795,16.56,G04137;G04036;G04177;20SECONDTARGET
302933996,293.3292,28.6713,16.44,G04036;20SECONDTARGET
30714849,289.7094,33.6008,15.59,G04137;G04171;G04200;G04036;20SECONDTARGET
392581658,288.7701,34.3272,15.89,G04036;20SECONDTARGET
392931545,290.2067,34.1654,15.86,G04036;20SECONDTARGET
394782224,291.4077,31.5089,16.88,G04036;20SECONDTARGET
42063937,286.0286,34.9904,16.78,G04137;G04200;G04036;G04209;20SECONDTARGET
42550954,286.8014,32.281,16.09,G04137;G04200;G04036;G04177;20SECONDTARGET
451788628,286.8616,28.1289,15.74,G04137;G04036;20SECONDTARGET
69690429,294.617,32.888,13.85,G04137;G04200;G04036;20SECONDTARGET
10494697,268.4671,33.1065,14.01,G04137;G04200;G04036;20SECONDTARGET
1508364590,269.7251,30.5611,16.9,G04137;G04200;G04036;20SECONDTARGET
1508401471,269.3038,33.244,16.79,G04137;G04200;G04036;G04177;20SECONDTARGET
1550156479,277.2323,34.9952,16.6,G04244;G04137;G04200;G04036;20SECONDTARGET
