# TESS Program G04079

Title: Asteroseismology Of Hot White Dwarf Stars And Planetary Nebula Nuclei

PI: Kawaler, Steven - Iowa State University

Type: SMALL

Summary: This program will obtain short cadence data on known pulsating hot white dwarf (GW Vir) stars and pulsating planetary nebula nuclei (PNNVs). The science goal is to explore the coherence of the known oscillations. K2 data showed that some longer-period modes in GW Vir itself showed evidence of unexpected stochastic behavior, similar to that seen in long-period modes in cooler white dwarfs. We plan to study this effect in known hot pulsators to test connections between pulsation and convection. The high duty cycle and long duration of TESS data, which far exceed what is available from ground-based studies, are needed. While 2 minute integrations will suffice for all targets, those with short periods can benefit from 20 second integrations to eliminate aliases.


# Sector 040 targets observed (2 min: 2, 20 s: 0)
233689607,275.4671,64.3648,15.47,G04079
1102584065,229.1932,73.8687,17.12,G04200;G04079;G04177

# Sector 041 targets observed (2 min: 1, 20 s: 0)
1102475240,225.54,66.2054,16.86,G04137;G04079;G04177

# Sector 042 targets observed (2 min: 2, 20 s: 0)
610818756,4.2143,-1.2249,17.19,G04079
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 043 targets observed (2 min: 1, 20 s: 0)
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 044 targets observed (2 min: 4, 20 s: 1)
247056967,112.2613,13.2468,16.41,G04200;G04137;G04079;G04036;G04177;20SECONDTARGET
60947424,112.2949,20.9118,10.91,G04079
446005482,111.3945,29.4906,15.19,G04079
331986754,131.7227,17.8795,14.55,G04079

# Sector 040 targets observed (2 min: 2, 20 s: 0)
233689607,275.4671,64.3648,15.47,G04079
1102584065,229.1932,73.8687,17.12,G04200;G04079;G04177

# Sector 041 targets observed (2 min: 1, 20 s: 0)
1102475240,225.54,66.2054,16.86,G04137;G04079;G04177

# Sector 042 targets observed (2 min: 2, 20 s: 0)
610818756,4.2143,-1.2249,17.19,G04079
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 043 targets observed (2 min: 1, 20 s: 0)
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 044 targets observed (2 min: 4, 20 s: 1)
247056967,112.2613,13.2468,16.41,G04200;G04137;G04079;G04036;G04177;20SECONDTARGET
60947424,112.2949,20.9118,10.91,G04079
446005482,111.3945,29.4906,15.19,G04079
331986754,131.7227,17.8795,14.55,G04079

# Sector 040 targets observed (2 min: 2, 20 s: 0)
233689607,275.4671,64.3648,15.47,G04079
1102584065,229.1932,73.8687,17.12,G04200;G04079;G04177

# Sector 041 targets observed (2 min: 1, 20 s: 0)
1102475240,225.54,66.2054,16.86,G04137;G04079;G04177

# Sector 042 targets observed (2 min: 2, 20 s: 0)
610818756,4.2143,-1.2249,17.19,G04079
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 043 targets observed (2 min: 1, 20 s: 0)
471015192,21.3438,20.2991,16.1,G04079;G04177

# Sector 044 targets observed (2 min: 4, 20 s: 1)
247056967,112.2613,13.2468,16.41,G04200;G04137;G04079;G04036;G04177;20SECONDTARGET
60947424,112.2949,20.9118,10.91,G04079
446005482,111.3945,29.4906,15.19,G04079
331986754,131.7227,17.8795,14.55,G04079

# Sector 045 targets observed (2 min: 5, 20 s: 1)
