# TESS Program G04105

Title: Illuminating The Origin Of Double Eclipsing Binaries

PI: Pejcha, Ondrej - Charles University

Type: MINI

Summary: Double eclipsing binaries are systems with two independent but overlapping sets of eclipses. Surprisingly, the population of double eclipsing binaries shows excess near but not exactly at period ratios of 1:1 and 3:2, which is not theoretically understood. Determining the spin state of the individual stars in double eclipsing binaries is the best way to figure out the interplay between tides and dynamical evolution likely responsible for the resonance. We propose to obtain 2-min cadence observations of all known double eclipsing binaries observable in Cycle 4 to determine spin periods of individual components by tracking spots, use the spot eclipses to estimate the obliquity, and search for stellar pulsations.


# Sector 040 targets observed (2 min: 2, 20 s: 0)
284462138,290.8227,55.6599,12.03,G04105
284482112,291.2327,57.069,10.09,G04105

# Sector 041 targets observed (2 min: 4, 20 s: 0)
312622966,303.5283,38.8255,12.92,G04105
312626022,303.5231,38.3829,12.46,G04105
284462138,290.8227,55.6599,12.03,G04105
284482112,291.2327,57.069,10.09,G04105

# Sector 042 targets observed (2 min: 1, 20 s: 0)
257395093,12.136,0.1718,12.29,G04105

# Sector 043 targets observed (2 min: 3, 20 s: 0)
257395093,12.136,0.1718,12.29,G04105
239808300,87.1001,30.951,13.29,G04105
81072547,91.8266,28.1236,14.05,G04105

# Sector 044 targets observed (2 min: 2, 20 s: 0)
239808300,87.1001,30.951,13.29,G04105
81072547,91.8266,28.1236,14.05,G04105

# Sector 045 targets observed (2 min: 1, 20 s: 0)
239808300,87.1001,30.951,13.29,G04105

# Sector 047 targets observed (2 min: 1, 20 s: 0)
284482112,291.2327,57.069,10.09,G04105

# Sector 050 targets observed (2 min: 1, 20 s: 0)
284482112,291.2327,57.069,10.09,G04105

# Sector 053 targets observed (2 min: 2, 20 s: 0)
284462138,290.8226,55.6599,12.03,G04105
284482112,291.2328,57.069,10.09,G04105

# Sector 054 targets observed (2 min: 5, 20 s: 0)
228486358,285.4615,3.308,15.04,G04105
312622966,303.5283,38.8255,12.92,G04105
312626022,303.5231,38.3829,12.46,G04105
284462138,290.8226,55.6599,12.03,G04105
284482112,291.2328,57.069,10.09,G04105

# Sector 055 targets observed (2 min: 3, 20 s: 0)
312622966,303.5283,38.8255,12.92,G04105
312626022,303.5231,38.3829,12.46,G04105
284462138,290.8226,55.6599,12.03,G04105
