# TESS Program G04138

Title: Long-Period Transit Follow-Up Of Kepler M-Dwarfs & Friends

PI: Safron, Emily - Louisiana State University

Type: SMALL

Summary: Planet Hunters (PH) and PH TESS have proven successful at crowd-sourcing visual inspection of Kepler and TESS light curves to detect long-period exoplanet (LPE) candidates that would be invisible to traditional automated searches. With PH classification of all Kepler M-dwarf light curves completed, we seek 2-minute cadence TESS observations of 4110 of these targets and 62 other known LPE candidate hosts in the Kepler field to create light curves to be injected into the PH TESS interface. With a specialized pipeline that includes an injection/recovery study, we will 1) identify new LPE candidates, 2) refine properties of previously reported candidates in the sample, and 3) constrain the occurrence rates of LPEs around M-dwarfs with a unique methodology.


# Sector 040 targets observed (2 min: 800, 20 s: 0)
120500508,285.4457,38.4095,16.34,G04138
120500688,285.3462,38.2988,15.89,G04138
120571516,285.5591,38.1946,16.09,G04138
120571948,285.5437,38.4592,12.22,G04138
120572002,285.6015,38.4855,16.0,G04138
120572301,285.6123,38.6529,14.75,G04138
120628680,285.6342,38.6149,14.71,G04138
120628720,285.7287,38.5921,14.8,G04138
120629636,285.7523,38.0564,16.55,G04138
120629872,285.7757,37.923,12.13,G04138
120636743,285.8825,37.641,14.61,G04138
120636923,285.894,37.742,16.14,G04138
120637232,285.777,37.9242,12.5,G04138
120637271,285.7954,37.9423,14.85,G04138
120637706,285.8703,38.1919,15.68,G04138
120637709,285.7943,38.1932,14.93,G04138
120693011,285.9287,38.5206,13.32,G04242;G04138
120693782,286.0472,38.0887,14.74,G04138
120693814,285.9464,38.0732,14.23,G04138
120694158,285.9846,37.8789,13.94,G04138
120762131,286.0831,37.4776,14.75,G04138
120762799,286.1878,37.8665,14.5,G04138
120763028,286.1292,37.9854,15.04,G04138
120763334,286.1127,38.1717,15.43,G04138
120763960,286.115,38.5399,14.71,G04138
120823406,286.2414,38.6163,14.21,G04138
120823837,286.2609,38.3749,12.8,G04138
120824150,286.2638,38.1759,14.93,G04138
120824152,286.335,38.1735,12.51,G04138
120824972,286.3727,37.7112,14.77,G04138
120825083,286.2328,37.6432,15.23,G04138
120890307,286.4084,37.4269,13.74,G04138
120890380,286.5063,37.4674,13.76,G04138
120891680,286.4669,38.2067,14.7,G04138
120891751,286.4837,38.2543,14.27,G04138
120891972,286.4905,38.3749,14.08,G04138
120962697,286.5451,38.3261,15.27,G04138
120962724,286.5271,38.308,15.01,G04138
120962813,286.6134,38.2602,14.66,G04138
120963148,286.6235,38.0805,13.38,G04138
120963166,286.6498,38.0692,14.28,G04138
120963210,286.6401,38.045,14.49,G04138
120963454,286.5943,37.8913,14.94,G04138
120963868,286.6032,37.6713,14.59,G04138
120964128,286.6002,37.5275,14.56,G04138
120964145,286.5741,37.5169,14.52,G04138
120970559,286.7615,37.7111,15.17,G04138
120970827,286.8191,37.859,14.84,G04242;G04138
120971004,286.7835,37.9541,14.19,G04138
120971084,286.6969,37.9952,14.73,G04138
120971124,286.6941,38.0156,14.74,G04138
120971520,286.6931,38.2441,15.94,G04138
120972238,286.6879,38.6514,14.84,G04138
121021392,286.8297,38.4682,14.33,G04138
121022010,286.9741,38.1175,14.49,G04138
121022057,286.8953,38.0887,14.88,G04138
