# TESS Program G04178

Title: Identifying Habitable Zone Planets With TESS

PI: Pepper, Joshua - Lehigh University

Type: SMALL

Summary: While TESS is optimized to discover small planets orbiting nearby, bright stars, its observing strategy is not optimized to detect planets in the Habitable Zone (HZ). We have identified a small set of stars for which the prime mission TESS observations permit the observation of multiple transits of a planet within the star s HZ. We propose 2-minute observations of the subset of those stars that are observable in Cycle 4. These additional observations will permit the detection of smaller planets in the HZ, the detection of planets orbiting further out in the HZ, and improve the ability to follow-up and confirm HZ transit candidates.


# Sector 040 targets observed (2 min: 2544, 20 s: 118)
120101295,283.99,38.2147,12.73,G04178
258280824,283.1838,36.9884,12.78,G04214;G04178
258280834,283.1828,36.9907,12.18,G04214;G04178
28403930,281.874,35.2021,14.34,G04214;G04178
28639499,282.6443,34.6792,13.8,G04178
336410469,281.9968,36.2574,14.01,G04178
358237020,282.9406,26.7028,13.76,G04214;G04178
358403392,283.1345,29.8105,12.92,G04240;G04178
383826109,284.0791,31.8911,14.22,G04214;G04178
404141259,289.3813,28.5527,12.69,G04214;G04178
42322219,286.431,31.1764,13.32,G04214;G04178
42810508,287.2277,35.7012,13.78,G04214;G04178
42811486,287.2783,35.2457,14.13,G04178
451748638,286.1819,27.4663,14.07,G04178
69796912,294.704,35.2155,13.45,G04214;G04178
70244792,294.8716,35.0376,13.88,G04178
89676192,290.1003,29.3027,13.78,G04214;G04178
90396760,290.6707,29.4294,12.48,G04214;G04178
158710279,269.3202,24.874,13.91,G04214;G04178
22125723,269.5003,31.9583,14.17,G04214;G04178
22413602,271.2609,29.9429,13.98,G04214;G04178
235770372,276.8713,28.1344,13.68,G04214;G04178
23988603,276.365,34.1117,13.53,G04178
258399091,274.4489,26.6666,13.89,G04214;G04178
28069786,279.5067,34.3021,13.48,G04214;G04178
289379068,278.3786,37.7044,13.3,G04178
320804300,271.6912,27.5357,13.8,G04219;G04209;G04178
68480164,280.6534,31.183,12.87,G04214;G04178
135618283,271.8362,20.9057,14.06,G04214;G04178
15231995,279.9526,16.8132,13.34,G04214;G04178
157552943,275.0073,16.4321,13.47,G04214;G04178
235613022,272.8005,19.3171,14.12,G04214;G04178
256030874,272.3061,22.995,14.71,G04214;G04178
256113497,272.3293,21.0738,13.54,G04214;G04178
258666919,278.3104,22.3187,12.98,G04214;G04178
278188398,279.6791,22.3566,13.87,G04214;G04178
314595924,281.4431,21.4779,14.02,G04214;G04178
317180704,280.4489,24.3621,13.72,G04214;G04178
320796170,271.5316,24.0669,14.41,G04214;G04178
336664287,281.5985,24.8748,13.72,G04178
348502394,282.1248,23.8348,14.25,G04178
348922687,282.4763,18.673,11.14,G04033;G04214;G04148;G04178;20SECONDTARGET
84794909,273.9918,24.6733,14.19,G04178
8527476,279.3831,20.51,13.09,G04214;G04148;G04188;G04178
239456636,293.6942,26.3116,14.53,G04178
351740015,289.2874,16.3606,13.79,G04214;G04178
353011844,288.5988,19.2667,13.97,G04178
355389066,291.3038,18.1623,14.96,G04178
362301307,294.7865,20.9421,14.18,G04178
370303933,292.4518,19.2529,14.29,G04178
371882145,292.9533,20.1675,14.6,G04178
371901012,293.0128,21.1366,13.41,G04214;G04178
