# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 040 targets observed (2 min: 1099, 20 s: 38)
114862238,285.1549,27.7936,12.77,G04209
120359414,284.7624,36.7063,12.97,G04209
121125566,287.13,38.2283,11.1,G04209
121608344,288.4079,37.7747,7.8,G04209;G04103
139047319,295.1651,36.0897,13.5,G04209
1711568112,286.8799,27.1622,19.98,G04209
1711869307,288.2007,27.4562,19.05,G04209
1712162020,285.1549,27.792,19.64,G04209
1713080455,289.465,31.3189,18.84,G04209
1713137123,289.9187,31.9708,19.49,G04209
1713456952,284.3094,30.2336,19.4,G04209
1713789921,286.5437,30.9798,18.85,G04209
1714012917,288.9474,32.7731,19.54,G04209
1714028923,288.9212,33.0925,17.78,G04209
1714363391,286.1083,34.4585,18.2,G04209
1714426013,289.8856,33.6556,17.88,G04209;G04177
1714975365,281.8955,33.0121,19.8,G04209
1714987049,282.9691,33.3247,18.56,G04209
1715226832,285.56,34.513,18.85,G04209
1715248897,285.6923,35.449,18.9,G04209
1715296771,284.2576,35.6094,18.92,G04209
1715434329,284.7631,36.7129,18.19,G04209
1715581936,281.3239,38.1086,18.48,G04209
1715827857,287.1288,38.2287,19.29,G04209
1715835551,288.4596,37.649,16.5,G04137;G04200;G04209;G04036;20SECONDTARGET
1715954921,285.2294,38.059,18.35,G04209
1867758053,293.7078,30.8817,17.32,G04137;G04209;G04177
1873947227,291.4913,32.471,19.34,G04209
1874199498,292.2058,33.5229,18.86,G04209
1876088770,295.16,36.1195,19.06,G04209
1876911688,291.8372,37.095,19.54,G04209
20531082,284.3095,30.2312,9.86,G04209
20605548,284.2684,35.6127,13.55,G04209
21157570,285.5584,34.5131,11.01,G04219;G04209
21689717,292.2072,33.5239,9.95,G04209
28407090,281.902,33.0178,9.59,G04209
28774468,282.9689,33.3239,11.0,G04209
30166998,288.9248,33.0913,13.18,G04209
30167838,288.9497,32.7723,9.35,G04209
30523902,289.4555,31.3299,10.19,G04209
30859913,289.9243,31.9746,8.67,G04209
30865138,289.8843,33.6557,13.59,G04209
336210460,281.3131,38.0996,15.23,G04209
351052903,291.8388,37.096,11.69,G04209
394786330,291.4899,32.4704,11.53,G04209
399793280,285.2296,38.0609,12.96,G04209
41001323,293.7175,30.8731,13.98,G04209
41871932,285.6923,35.4497,11.82,G04209
42063935,286.0253,34.9903,16.01,G04209
42063937,286.0286,34.9904,16.78,G04137;G04200;G04036;G04209;20SECONDTARGET
42068897,286.134,34.4477,11.86,G04209
42205324,286.2946,35.7798,13.78,G04209
42205338,286.2873,35.7863,17.3,G04209
42377747,286.5431,30.9807,11.46,G04209
