# TESS Program G05036

Title: Massive Star Asteroseismology: TESS Light Curves That Surpass Kepler

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective boundary mixing. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star's interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 056 targets observed (2 min: 229, 20 s: 0)
262591381,348.5022,4.997,7.18,G05036
422552696,352.7042,5.4339,12.54,G05036
128627433,339.3697,39.4388,7.7,G05036
128821888,340.3694,40.2254,5.39,G05036
129538133,344.0984,41.6038,5.77,G05036;G05003
384533802,328.1992,48.0224,9.57,G05036
117146835,319.4796,34.8969,4.16,G05036;G05139
138002473,319.04,42.5409,8.63,G05036
163800914,320.9921,35.1665,9.31,G05036
166298224,317.6607,38.9611,7.57,G05036
166300835,317.7042,38.2177,8.92,G05036
166354242,317.7657,36.2996,6.64,G05036
166432991,317.7997,40.4259,8.68,G05036
166781666,318.1894,37.414,7.53,G05036
167015647,318.5228,37.7816,7.54,G05036
194840640,313.0274,38.5874,9.05,G05036
196273348,315.418,36.7591,10.14,G05036
239408899,321.2602,44.4518,8.22,G05036;G05139;G05151
265595573,313.4193,38.1882,9.38,G05036
274621447,321.839,37.1168,5.46,G05036
351331453,321.446,36.6673,6.01,G05036
373819241,320.7131,40.6972,7.39,G05116;G05036;G05139
468493285,323.3974,38.5274,7.79,G05036
76426958,317.4712,35.4916,9.27,G05036
452720691,326.2556,29.5616,10.0,G05036
128865204,340.731,37.8027,6.53,G05036
346338049,344.4197,39.3087,6.34,G05036
136024550,317.1106,47.674,10.37,G05036
136456713,317.4434,46.3937,8.25,G05036
136465339,317.3942,45.7385,7.69,G05036
136647040,317.657,45.3898,10.82,G05036
136647153,317.602,45.4084,9.94,G05036
136761624,317.8014,45.5254,11.12,G05036
137036484,318.0019,46.6976,10.0,G05036
137049602,318.1185,47.054,9.48,G05036
137105763,318.1555,45.7951,8.69,G05036
137113608,318.1183,44.5317,7.49,G05036
137270216,318.2892,43.8738,7.55,G05036
137443271,318.4244,45.6114,7.71,G05036
137626224,318.6277,46.4104,9.88,G05036
138317746,319.6133,43.9459,5.08,G05036
138373498,319.5909,47.2831,8.77,G05036
17035907,308.1086,41.4942,11.7,G05036
17036308,307.9849,41.5514,12.54,G05036
17125275,308.1156,41.4812,10.31,G05036
17125695,308.1893,41.4271,9.29,G05036
17125844,308.2465,41.4071,10.32,G05036
17450377,308.4129,41.3239,8.96,G05036
17451075,308.3531,41.3679,12.4,G05036
17451194,308.2937,41.3729,11.2,G05036;G05003
17453934,308.3564,41.5574,10.27,G05036
17456038,308.2719,41.7268,10.93,G05036
184944747,300.7314,45.9869,8.21,G05036
185226837,301.3569,46.6718,7.99,G05116;G05036;G05139
185706222,302.4607,45.4029,8.8,G05036
185841818,302.7066,47.8131,8.16,G05036
