# TESS Program G06037

Title: TESS Lifts The Veil On The Unconstrained Interiors Of Massive Stars

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important chemical factories in the Universe and progenitors of core-collapse supernovae. However, a major limitation of stellar evolution models is their uncalibrated prescriptions for interior rotation and mixing processes. This is because we lack detailed empirical constraints on massive star interiors. Fortunately, most massive stars pulsate in pressure and gravity modes, which are highly sensitive to a star s interior physics. The TESS mission is providing the first set of long-duration and high-precision light curves for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate the large rotation and mixing uncertainties in stellar evolution theory.


# Sector 070 targets observed (2 min: 26, 20 s: 0)
92136299,355.6813,-14.5453,4.56,G06037
262591381,348.5022,4.997,7.18,G06037
422552696,352.7042,5.4339,12.54,G06037
49531426,349.476,-9.1826,4.59,G06037;G06139
49619366,350.4618,-9.7614,7.88,G06037
49687057,351.6896,-11.0326,8.48,G06037
302201252,9.1972,15.2317,6.04,G06037
381348342,46.8568,17.88,6.27,G06037
346595127,55.3267,28.7027,6.86,G06037
417832801,52.1944,30.3753,6.71,G06037
440731301,58.5085,21.945,7.2,G06037
242991317,60.17,12.4903,3.59,G06037;G06057
468892188,57.0679,11.1431,5.23,G06037
18442894,71.3945,19.3283,8.21,G06073;G06037
18478843,71.4527,19.2823,8.98,G06037
18485287,71.8806,18.4975,10.1,G06037
284704271,67.4286,10.5219,6.67,G06037
150122696,70.353,25.9134,8.68,G06037
171084337,67.7666,30.4537,9.84,G06037;G06057
18448048,71.427,23.6279,6.23,G06037
348890811,61.6519,27.5996,5.31,G06037
349453460,61.6627,32.385,6.99,G06037
408523619,69.5635,31.9987,6.69,G06037
58545683,65.999,24.3009,6.18,G06037
94367286,58.5331,31.8836,2.64,G06037
94471007,58.8461,31.0458,6.03,G06037

# Sector 071 targets observed (2 min: 359, 20 s: 0)
381348342,46.8568,17.88,6.27,G06037
436850886,40.863,27.7071,4.78,G06037
18442894,71.3945,19.3283,8.21,G06073;G06037
18478843,71.4527,19.2823,8.98,G06037
18485287,71.8806,18.4975,10.1,G06037
27141005,76.981,21.7048,5.59,G06073;G06037;G06183;G06139
284704271,67.4286,10.5219,6.67,G06037
69225473,76.0919,21.6435,7.54,G06037
150122696,70.353,25.9134,8.68,G06037
171084337,67.7666,30.4537,9.84,G06037;G06057
18448048,71.427,23.6279,6.23,G06037
308525303,75.3288,26.5343,6.96,G06037
349070699,75.5662,24.0292,8.41,G06073;G06037;G06139
349073153,75.7085,25.7793,7.89,G06037
349252185,75.9917,26.9747,10.15,G06037
356986117,76.4726,26.4299,6.43,G06037
408523619,69.5635,31.9987,6.69,G06037
446041643,71.3699,30.2817,8.86,G06037
58545683,65.999,24.3009,6.18,G06037
60125459,72.7168,28.314,7.14,G06037
69597846,77.0276,24.2651,5.42,G06037
96951421,74.6396,30.6976,8.69,G06037
346595127,55.3267,28.7027,6.86,G06037
348890811,61.6519,27.5996,5.31,G06037
349453460,61.6627,32.385,6.99,G06037
417832801,52.1944,30.3753,6.71,G06037
440731301,58.5085,21.945,7.2,G06037
94367286,58.5331,31.8836,2.64,G06037
