# TESS Program G06132

Title: Flicker And Jitter : Using Photometric Variability To Mitigate Rv Activity In M Dwarfs

PI: Robertson, Paul - University Of California (Irvine)

Type: SMALL

Summary: Stellar activity remains a persistent barrier to radial velocity (RV) detection of low-mass planets, particularly for M dwarfs. We aim to develop techniques to predict and mitigate the stellar jitter in the RV time series by studying the corresponding short time-scale photometric variability, or flicker . We are conducting a multi-year RV survey of ~70 nearby M dwarfs, which will allow us to study RV flicker in conjunction with TESS lightcurves. Many of our targets were observed in Cycles 2 and 4, and additional Cycle 6 observations will allow us to study how these activity indicators evolve over time. This project will improve our understanding of the underlying processes that drive RV activity in M dwarfs and provide tools to diagnose and mitigate stellar activity in RVs.


# Sector 070 targets observed (2 min: 9, 20 s: 1)
176287658,1.6746,-7.5506,10.25,G06132
471016474,353.7988,-2.3946,11.28,G06132
278892590,346.6285,-5.0446,13.85,G06165;G06058;G06002;G06155;G06032;G06195;G06034;G06132;20SECONDTARGET
404715018,30.0614,13.0403,9.3,G06058;G06132
347509900,30.5632,10.3354,11.88,G06132
278962913,39.0756,6.8812,9.02,G06132
218088471,41.6389,16.4157,12.96,G06132
436856183,41.0709,25.521,8.28,G06132
35025268,48.5543,28.6727,13.02,G06132

# Sector 071 targets observed (2 min: 11, 20 s: 1)
218088471,41.6389,16.4157,12.96,G06132
35025268,48.5543,28.6727,13.02,G06132
436856183,41.071,25.521,8.28,G06132
404715018,30.0614,13.0402,9.3,G06058;G06132
278962913,39.0756,6.8812,9.02,G06132
347509900,30.5631,10.3353,11.88,G06132
247463344,85.5522,12.4789,8.8,G06132
68581262,103.6982,33.2655,7.65,G06200;G06058;G06132;20SECONDTARGET
58998044,104.8764,19.3429,11.25,G06132
334415465,122.9971,8.7393,10.06,G06132
3664898,127.4474,26.772,10.5,G06132

# Sector 072 targets observed (2 min: 8, 20 s: 2)
58998044,104.8765,19.3429,11.25,G06132
68581262,103.6982,33.2655,7.65,G06200;G06058;G06132;20SECONDTARGET
247463344,85.5522,12.4789,8.8,G06132
334415465,122.9971,8.7392,10.06,G06132
203225829,135.0944,21.8308,11.74,G06132
3664898,127.4473,26.7719,10.5,G06132
95431305,154.8976,19.8697,7.04,G06171;G06103;G06132;20SECONDTARGET
291108374,178.4716,6.993,13.57,G06132

# Sector 073 targets observed (2 min: 10, 20 s: 1)
356322721,67.8148,58.9634,8.37,G06024;G06132
87302025,78.8805,59.1815,13.6,G06132
322347050,90.2946,59.591,9.13,G06132
219807052,266.5482,60.4078,11.92,G06132
232626766,268.8925,58.413,13.94,G06132
233068870,270.5722,64.2597,10.34,G06132
233683153,260.6759,60.1409,11.75,G06132
289536553,251.4797,60.9492,10.96,G06132
289589923,253.2083,63.0785,11.38,G06002;G06132;G06094;20SECONDTARGET
359676790,280.6773,59.6423,6.72,G06132

# Sector 074 targets observed (2 min: 8, 20 s: 1)
219807052,266.5482,60.4078,11.92,G06132
233068870,270.5722,64.2597,10.34,G06132
233683153,260.6759,60.1409,11.75,G06132
289536553,251.4797,60.9492,10.96,G06132
289589923,253.2083,63.0785,11.38,G06002;G06132;G06094;20SECONDTARGET
232626766,268.8925,58.413,13.94,G06132
