# TESS Program G07160

Title: Phase Monitoring Of Variable Hot Subdwarfs Using TESS Cycle 7 Observations

PI: Barlow, Brad - University Of North Carolina

Type: SMALL

Summary: Hot subdwarf B stars are the descendants of red giants that were stripped of their outer envelopes due to binary interactions. Here we propose 20-s and 2-min cadence TESS observations of compact hot subdwarf binaries falling in Cycle 7. When combined with data from previous cycles, these high S/N light curves will allow us to generate the first large and homogeneous set of orbital ephemerides for three types of compact systems: (i) ellipsoidally modulated sdB+WD binaries, (ii) eclipsing sdB+dM/BD reflection effect binaries, and (iii) non-eclipsing sdB+dM/BD binaries. Together, these ephemerides will help us determine the prevalence of circumbinary planets around post-common envelope binaries and measure orbital period changes due to gravitational wave radiation or tidal effects.


# Sector 084 targets observed (2 min: 39, 20 s: 17)
58105203,6.4736,30.0867,14.67,G07160;20SECONDTARGET
15654278,17.0702,27.8802,14.29,G07160;20SECONDTARGET
65270951,358.1412,56.4068,15.86,G07160;20SECONDTARGET
154818961,344.545,46.2431,14.31,G07167;G07160;20SECONDTARGET
197775102,337.3125,51.4452,16.07,G07160;20SECONDTARGET
25313809,351.4904,49.3591,14.56,G07160;20SECONDTARGET
191131926,7.6822,44.4091,14.91,G07160;20SECONDTARGET
201736330,1.9277,48.0706,15.23,G07160;20SECONDTARGET
238627422,12.7319,43.5617,14.52,G07160;20SECONDTARGET
259257018,0.6304,42.8861,14.55,G07160;20SECONDTARGET
288292938,5.3533,40.4825,15.79,G07160;20SECONDTARGET
440171026,5.9828,42.1541,13.85,G07160;20SECONDTARGET
2046417955,340.2133,54.6308,15.05,G07160;20SECONDTARGET
430960919,334.3364,50.8831,13.88,G07160;20SECONDTARGET
269661838,300.943,71.6068,10.46,G07036;G07160
279373920,324.5734,72.1857,11.63,G07165;G07167;G07160;20SECONDTARGET
1979105817,306.3118,58.8522,17.57,G07160;20SECONDTARGET
233130512,274.1239,61.197,14.63,G07036;G07160
233571681,281.9329,61.8505,14.43,G07036;G07160
298663903,277.9065,56.7181,15.63,G07036;G07160
357128775,275.3884,58.0786,15.83,G07036;G07160
359496198,279.229,55.1329,12.34,G07036;G07160
377053047,284.9461,57.6758,14.56,G07036;G07160
377159029,285.6135,58.0591,13.83,G07036;G07160
421335341,289.0422,59.2875,14.43,G07036;G07160
229751806,280.6877,69.9389,15.43,G07036;G07160
236770588,274.1818,69.5009,15.13,G07036;G07160
258700451,285.7451,67.6171,14.73,G07036;G07160
258826647,287.2269,70.1591,15.61,G07036;G07160
362105045,268.3369,70.4261,15.05,G07036;G07160
160583519,243.0259,73.4659,14.07,G07036;G07160
198176924,244.0432,63.5767,15.43,G07036;G07160
198240464,249.5444,62.2879,13.14,G07036;G07160
219761348,262.2662,65.2702,15.13,G07036;G07160
188668744,259.939,51.8697,13.27,G07160;20SECONDTARGET
198416052,259.5577,59.8986,16.03,G07036;G07160
232633722,269.4333,57.2697,15.23,G07036;G07160
233056547,269.5189,60.1339,14.73,G07036;G07160
357032981,274.1222,54.3866,14.93,G07036;G07160

# Sector 085 targets observed (2 min: 20, 20 s: 1)
20885502,26.653,32.604,16.08,G07092;G07160;20SECONDTARGET
269661838,300.943,71.6068,10.46,G07036;G07160
233571681,281.9329,61.8505,14.43,G07036;G07160
258700451,285.7451,67.6171,14.73,G07036;G07160
377053047,284.9461,57.6758,14.56,G07036;G07160
377159029,285.6135,58.0591,13.83,G07036;G07160
421335341,289.0422,59.2875,14.43,G07036;G07160
229751806,280.6877,69.9389,15.43,G07036;G07160
236770588,274.1818,69.5009,15.13,G07036;G07160
362105045,268.3369,70.4261,15.05,G07036;G07160
198176924,244.0432,63.5767,15.43,G07036;G07160
198240464,249.5444,62.2879,13.14,G07036;G07160
219761348,262.2662,65.2702,15.13,G07036;G07160
232633722,269.4333,57.2697,15.23,G07036;G07160
233056547,269.5189,60.1339,14.73,G07036;G07160
233130512,274.1239,61.197,14.63,G07036;G07160
298663903,277.9065,56.7181,15.63,G07036;G07160
357032981,274.1222,54.3866,14.93,G07036;G07160
357128775,275.3884,58.0786,15.83,G07036;G07160
359496198,279.229,55.1329,12.34,G07036;G07160

# Sector 086 targets observed (2 min: 23, 20 s: 0)
159330149,231.7206,79.6919,12.04,G07036;G07160
235716442,254.389,80.2488,14.33,G07036;G07160
229751806,280.6877,69.9389,15.43,G07036;G07160
258700451,285.7451,67.6171,14.73,G07036;G07160
258826647,287.2269,70.1591,15.61,G07036;G07160
269661838,300.943,71.6068,10.46,G07036;G07160
160583519,243.0259,73.4659,14.07,G07036;G07160
362105045,268.3369,70.4261,15.05,G07036;G07160
198176924,244.0432,63.5767,15.43,G07036;G07160
198240464,249.5444,62.2879,13.14,G07036;G07160
198416052,259.5577,59.8986,16.03,G07036;G07160
219761348,262.2662,65.2702,15.13,G07036;G07160
232633722,269.4333,57.2697,15.23,G07036;G07160
233056547,269.5189,60.1339,14.73,G07036;G07160
233130512,274.1239,61.197,14.63,G07036;G07160
233571681,281.9329,61.8505,14.43,G07036;G07160
298663903,277.9065,56.7181,15.63,G07036;G07160
357032981,274.1222,54.3866,14.93,G07036;G07160
357128775,275.3884,58.0786,15.83,G07036;G07160
359496198,279.229,55.1329,12.34,G07036;G07160
377053047,284.9461,57.6758,14.56,G07036;G07160
377159029,285.6135,58.0591,13.83,G07036;G07160
421335341,289.0422,59.2875,14.43,G07036;G07160
