ID,ra,dec,Tmag
325275315,176.93502,0.804568,8.232
9144963,351.380526,-23.15077,9.727
382268851,83.111666,-56.95454,12.274
260127241,92.150388,-57.061157,12.941
350708370,88.121489,-55.11179,10.537
220407807,70.231303,-58.915245,14.045
141621885,89.237714,-73.516487,12.313
370114320,70.266058,-68.627052,12.025
111773,222.381662,-26.108957,10.028
141212720,81.779012,-72.522324,12.103
167812509,104.984203,-61.750046,12.912
60645420,189.069485,-24.855223,9.749
220432563,73.432479,-58.60688,11.357
271642286,109.402423,-75.061569,13.431
382257922,82.428886,-55.499237,10.894
38635641,65.217053,-64.554596,11.026
29780677,65.05206,-70.099846,12.886
153169940,89.676942,-24.96097,9.681
149219307,82.278256,-61.954128,12.992
160329609,91.217317,-34.560017,9.65
348839628,98.8444,-57.297009,10.847
167814656,104.998618,-61.336288,6.135
38461453,61.180109,-64.809143,13.709
377129964,149.336371,6.969755,10.091
167306154,98.18763,-66.948547,11.622
29779873,64.806456,-71.353104,12.495
25081729,61.226305,-68.538551,11.824
260002934,91.118457,-58.675804,10.484
300742619,115.108934,-65.981567,13.001
177036977,102.788324,-66.702156,13.867
349306411,109.414229,-61.525631,13.353
167365789,99.134661,-66.656853,12.646
167549764,100.623588,-63.648113,13.24
150322322,95.739442,-60.242191,14.588
309617141,78.888605,-61.389442,12.849
374912514,89.03056,-61.878654,12.953
294399068,109.246407,-59.122723,9.44
149174494,81.619246,-63.183231,8.412
149988107,90.329116,-60.783997,11.898
38699083,66.200733,-63.036068,12.697
278897257,101.105817,-58.357536,13.249
64072306,39.208027,-22.717205,9.975
166970183,94.608078,-67.066902,11.847
246844860,5.052592,-28.229197,9.264
279159844,103.353894,-59.456203,12.068
349683816,112.720387,-63.588882,12.37
150428135,97.096891,-65.579353,10.974
25118964,61.932186,-68.419769,12.111
141028962,79.100278,-76.505646,12.286
422364489,311.540474,-21.745832,7.082
300515532,112.394739,-68.155731,8.037
279950551,82.221902,-66.588806,14.2
260609189,97.461652,-57.223522,13.796
167721744,103.422563,-62.767929,11.682
177236338,105.325799,-66.429634,11.613
149347629,83.648265,-60.182823,12.819
349643650,111.893795,-59.988823,11.171
167247143,97.538466,-67.682266,13.409
300243913,109.845937,-68.363564,10.874
55758201,75.315933,-65.767891,10.214
278861774,100.645467,-56.445107,8.903
142085618,98.256679,-77.692619,13.742
287400661,82.352453,-67.132675,13.521
141708335,90.457393,-77.298782,12.263
355366989,349.243332,-51.31942,7.894
381975243,77.121936,-56.987587,7.52
300243718,109.701841,-68.634018,10.272
55498515,71.647744,-63.956532,11.605
299833015,59.791109,-71.920326,12.525
167415965,99.460707,-70.932716,7.987
12862728,3.866634,-16.133581,8.863
443964187,129.950112,8.938343,10.8
277298771,84.567292,-69.392265,10.318
176932113,100.249428,-69.331345,10.868
309618860,78.942297,-64.226501,13.353
389506883,86.133381,-70.144196,7.575
33864387,65.41269,-72.565613,11.459
364589441,85.986688,-77.011696,13.249
25153167,63.075033,-70.166397,13.734
350844714,90.136562,-56.161831,8.187
260658693,98.289411,-57.305843,12.254
350820908,89.435231,-55.550053,12.581
149390282,83.934146,-62.797337,8.279
149971113,90.113147,-60.494282,8.476
141029712,79.304833,-77.10112,11.51
38682119,65.831177,-64.605789,14.139
177237464,105.414591,-67.944412,10.613
189163710,141.19153,-25.024994,10.021
260636511,97.700554,-57.106075,8.642
167417695,99.785051,-69.658813,11.405
300710077,115.268531,-71.304375,11.92
118443397,272.871605,-56.615479,9.503
25116423,61.502283,-66.08271,11.904
142052608,97.938428,-77.305977,13.308
150188736,93.728171,-60.655731,10.549
149216532,82.052203,-63.607117,13.429
348841387,98.986527,-58.952156,13.985
220428553,72.664786,-59.718918,10.875
279251651,104.155242,-59.183277,10.521
270561038,136.251265,2.437194,10.852
25077712,60.368757,-67.904564,12.299
141423634,84.587525,-74.232109,13.24
33715210,60.839844,-72.336159,10.248
279615427,106.460569,-58.80909,10.163
149539016,85.887193,-60.362988,12.163
453082318,113.685005,-66.643517,8.056
176983629,101.504265,-66.408195,9.816
176981169,101.382969,-70.293655,11.562
260354344,95.09138,-55.525345,9.884
141530700,87.459157,-72.412605,9.115
88347799,44.226574,-27.77243,9.899
373985178,81.70945,-71.126846,13.674
454016233,175.295007,-41.821896,9.981
374858999,88.448521,-60.713413,8.492
294329266,109.049855,-58.814423,12.295
141185142,81.439603,-74.423996,11.345
60764070,138.901789,-10.596393,10.362
339770560,111.121225,-59.37299,12.616
389793882,87.210274,-71.326813,12.352
364589559,85.887013,-76.767906,8.082
141769356,92.049933,-74.983231,13.798
349762144,112.572892,-64.836006,13.268
140998284,77.994207,-77.442978,11.517
150432211,97.289109,-61.793224,12.937
177389302,104.940458,-76.807312,13.316
334415465,122.989896,8.772792,10.253
278962913,39.063987,6.871984,9.043
167344582,98.795331,-70.716377,13.993
309702890,79.706855,-65.024361,10.684
55652063,73.989977,-61.162754,10.294
260131643,92.617673,-54.922958,11.394
144370079,189.704754,-38.381332,10.017
471012611,175.799553,-39.43264,8.944
454041988,175.799553,-39.43264,8.944
43085522,97.347477,-2.813887,8.111
141756992,91.45055,-73.956047,10.95
260655797,98.098988,-55.729481,15.021
149542119,86.252317,-64.900314,13.488
167892002,105.427988,-61.604004,10.033
257720478,78.272535,-59.645527,8.874
271598242,108.852169,-77.029465,7.986
302411696,33.040834,-16.392311,9.303
155011069,143.799131,14.084406,10.258
149105764,80.641825,-62.743492,12.949
271975726,114.171361,-74.701912,12.99
348839533,98.743492,-57.114014,12.515
55651285,73.79956,-60.829254,13.364
289706625,146.225934,-12.348452,10.373
364424104,69.634873,-76.217911,8.919
137772636,343.348763,-20.069227,9.497
309615852,78.708166,-61.810379,13.333
391745863,82.707158,-67.098663,13.104
277103955,84.25437,-66.791435,9.277
179306195,79.604932,-69.360733,9.339
348992096,106.719119,-62.353287,12.945
140943323,77.459644,-73.012138,12.376
140894185,76.511143,-73.501396,9.157
