TICID,RA,Dec,Tmag,Keywords
279049424,49.5947,-0.9306,4.4,G011155;G011179;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
439869953,43.381,-0.569,8.38,G011179
251083146,37.516,-0.3774,9.29,G011179
270430352,33.5104,1.9495,10.94,G011179
420031394,35.5035,4.7472,7.57,G011179;G011025;G011250
144538915,52.2062,-27.316,10.82,G011179
168632811,60.517,-34.4822,6.57,G011179;G011048;G011250
93106407,53.5355,-15.9137,12.61,G011179
140207474,59.1277,-36.6889,11.88,G011113;G011179
77156672,68.157,-39.0305,10.28,G011180;G011179
198079199,64.1204,-59.3031,3.33,G011155;G011113;G011183;G011179;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
260266504,94.0777,-59.2151,5.95,G011047;G011179;G011025;G011048;G011250
