TICID,RA,Dec,Tmag,Keywords
170304137,121.9369,-7.2437,15.26,G011113;G011294;G011288
443854829,121.3645,7.5912,17.14,G011294;G011288
443904445,122.4182,11.2073,17.24,G011294;G011288
471013548,128.926,4.1382,15.73,G011294;G011288
471013606,123.1456,4.1478,16.25,G011294;G011288
471013613,120.4057,5.6137,16.3,G011294;G011288
471013644,128.827,10.7163,16.57,G011294;G011288
471013666,120.9997,12.4956,16.63,G011294;G011288
471013675,121.8773,12.3076,16.67,G011294;G011288
471013720,123.9174,8.2107,16.8,G011294;G011288
471013778,122.532,13.6135,16.93,G011294;G011288
471013798,124.4368,9.2221,16.99,G011294;G011288
471013809,127.0193,9.8324,17.0,G011294;G011288
471013818,124.4081,4.3185,17.02,G011294;G011288
471013887,120.1769,6.9284,17.13,G011294;G011288
471014183,125.9069,3.5984,17.46,G011294;G011288
471014393,129.4005,7.852,17.62,G011294;G011288
471013604,117.9652,9.0551,16.24,G011294;G011288
