TICID,RA,Dec,Tmag,Keywords
12881069,345.2381,-26.1739,10.25,G03272
12930762,345.2356,-27.0537,11.11,G03212
12930823,345.2555,-27.4253,9.69,G03272
12931031,345.2099,-28.5505,10.79,G03272
12931089,345.2024,-28.8413,12.18,G03120
12931121,345.1696,-29.0642,9.67,G03251
12931336,345.3966,-29.7874,8.63,G03251
12931416,345.3967,-29.4691,8.42,G03251
12931537,345.3312,-28.8541,4.36,G03156;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
12931591,345.278,-28.601,10.44,G03272
12931705,345.3584,-28.0118,7.82,G03251
12931952,345.3511,-26.8295,12.45,G03274
12932997,345.4323,-26.275,11.27,G03272
12933046,345.513,-26.5133,15.4,G03207;G03124
12933063,345.5256,-26.5822,14.38,G03120
12933133,345.4336,-26.9405,11.4,G03212
12933347,345.4093,-28.0355,9.31,G03272
12965765,345.659,-29.4377,11.44,G03272
12966307,345.5873,-28.179,12.55,G03274
12968953,345.7077,-26.9217,10.09,G03252;20SECONDTARGET
12969289,345.7025,-28.2672,16.56,G03207
12969545,345.6908,-29.5101,14.35,G03120
12969711,345.8593,-29.5787,11.17,G03212
12969712,345.8156,-29.5773,10.27,G03272
12969769,345.8036,-29.2824,11.1,G03272
12969863,345.863,-28.8457,11.43,G03272
12970429,345.8481,-26.25,13.87,G03221;G03124
12971526,345.9454,-26.8167,10.5,G03272
12971641,345.9745,-27.3101,9.57,G03251
12971663,345.9825,-27.4983,9.49,G03251
12971778,345.9847,-28.1426,11.43,G03272
12971801,345.9508,-28.2399,10.17,G03272
12972617,346.1304,-27.8172,14.46,G03120
12972703,346.0625,-27.3222,9.59,G03272
12972738,346.1884,-27.1784,9.63,G03272
12972744,346.0752,-27.1481,11.47,G03272
12972937,346.1591,-26.1826,8.34,G03251
12973036,346.1364,-25.692,7.47,G03227;G03251
12974387,346.2909,-28.1008,11.02,G03272
12974616,346.3182,-29.1827,13.5,G03052
12974669,346.3,-29.429,9.78,G03272
12974972,346.3513,-28.8442,11.36,G03272
12975426,346.3434,-26.5449,14.91,G03120
12976466,346.5133,-26.4273,10.52,G03272
12976674,346.4627,-27.464,14.68,G03120
12976849,346.5072,-28.3782,15.51,G03120
12976949,346.5232,-28.7673,11.15,G03272
12996426,346.6156,-26.4161,11.83,G03255
12996524,346.6334,-26.1711,8.89,G03251
12998711,346.7276,-27.1816,11.47,G03272
13000397,346.9004,-28.5829,8.54,G03251
13000689,346.9487,-27.9743,11.62,G03212
13000988,346.9672,-27.2517,11.37,G03272
13021869,346.9514,-26.9235,10.98,G03272;G03274
13022084,346.8803,-25.889,14.95,G03120
13022838,347.108,-25.3692,10.04,G03251
13023261,347.0873,-27.4982,12.02,G03052
13023378,347.0538,-28.0078,11.92,G03278
13023577,347.0552,-28.7934,10.17,G03272
13023585,347.0874,-28.8239,4.81,G03156;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
13023738,347.0849,-29.5905,12.25,G03278
13024355,347.2183,-27.1749,16.25,G03207;G03124
13024620,347.2136,-25.8308,6.28,G03227;G03251
13058132,347.3293,-26.215,10.7,G03212
13058491,347.3235,-28.0575,11.01,G03272
13058711,347.3521,-28.9995,9.3,G03272
13058756,347.3232,-29.2562,10.32,G03272
13059155,347.4931,-28.7196,9.54,G03272
13059308,347.4361,-28.0886,4.75,G03156;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
13060482,347.6128,-25.5328,11.2,G03272
13060536,347.6304,-25.7256,9.65,G03272
13060575,347.5702,-25.9312,9.22,G03227;G03272;G03228
13060949,347.5969,-27.9,12.47,G03274
13065509,347.6266,-28.4287,8.0,G03251
13065840,347.7064,-29.9179,7.75,G03272;G03227
13065858,347.6942,-29.81,16.81,G03207
13066270,347.6744,-27.8474,9.24,G03251
13066582,347.7757,-26.2957,9.36,G03251
13066796,347.7818,-25.1457,11.05,G03272
13067476,347.9072,-25.7456,11.32,G03272
13067491,347.7858,-25.89,9.95,G03251
13067573,347.9163,-26.429,10.54,G03212
13067925,347.8706,-28.1499,10.57,G03272
13068582,348.1579,-25.4968,11.21,G03212
13073437,348.1345,-27.5449,12.28,G03254
13073527,348.1182,-28.0561,10.98,G03272
13073574,348.1716,-28.3092,9.46,G03272
13074211,348.4141,-25.7437,11.45,G03272
13074476,348.4298,-27.3554,11.04,G03212
13074673,348.3269,-28.4151,7.51,G03251
13074888,348.3587,-29.4916,10.67,G03251
13075244,348.5007,-28.4465,14.96,G03274
13075689,348.482,-26.0989,10.91,G03272
13075729,348.5125,-25.8572,10.74,G03102
13075730,348.5162,-25.857,11.16,G03102
13089848,348.6909,-26.0856,14.8,G03274
13090174,348.6784,-27.5872,9.62,G03251
13090489,348.5868,-29.1542,11.28,G03272
13090585,348.6593,-29.7027,8.51,G03227;G03272
13090700,348.7694,-29.4351,14.34,G03221
13090802,348.777,-28.7956,9.52,G03272
13090887,348.7494,-28.3265,11.44,G03272
13091275,348.8319,-26.285,12.96,G03102
13091276,348.8239,-26.2832,12.94,G03102
13092066,348.9686,-26.203,10.22,G03272
13092129,348.9395,-26.4777,10.02,G03212
