TICID,RA,Dec,Tmag,Keywords
1340292653,250.5575,-41.2782,16.32,G03124;20SECONDTARGET
163826277,242.8274,-45.3338,6.19,G03227;G03251;20SECONDTARGET
164637295,243.3915,-44.6197,16.28,G03207;G03124;20SECONDTARGET
214981601,241.2722,-48.8286,7.77,G03227;G03092;G03251;20SECONDTARGET
21938862,248.1816,-48.1603,16.01,G03207;G03124;20SECONDTARGET
229132714,248.6772,-43.4679,9.87,G03252;20SECONDTARGET
230703508,249.3063,-42.3195,9.47,G03252;20SECONDTARGET
23257970,248.33,-52.1344,9.89,G03228;G03274;20SECONDTARGET
232667148,250.1916,-46.0022,10.37,G03228;G03274;20SECONDTARGET
233115563,250.3646,-43.9894,9.54,G03228;G03274;20SECONDTARGET
24137126,248.5495,-51.5173,8.68,G03252;20SECONDTARGET
255530921,240.5432,-42.7012,6.43,G03227;G03251;20SECONDTARGET
44827786,251.0477,-48.6551,9.48,G03252;20SECONDTARGET
57269920,252.9705,-49.1152,6.78,G03251;20SECONDTARGET
8380599,246.7205,-50.5957,9.89,G03252;20SECONDTARGET
1337689597,257.3571,-44.1105,15.97,G03124;20SECONDTARGET
1521612233,262.0777,-48.5608,16.54,G03207;G03124;20SECONDTARGET
1522679863,263.5373,-47.9092,16.39,G03124;20SECONDTARGET
1528639253,264.7426,-44.4502,17.59,G03127;G03071;20SECONDTARGET
1535477969,263.3457,-44.2603,16.22,G03124;20SECONDTARGET
16909043,264.2594,-44.3248,8.25,G03250;G03227;G03126;G03228;G03106;G03274;20SECONDTARGET
17154445,264.4762,-42.5697,6.56,G03227;G03251;20SECONDTARGET
192642951,259.7255,-41.5332,12.89,G03279;G03250;G03274;20SECONDTARGET
212075577,255.4373,-52.771,15.98,G03124;20SECONDTARGET
213230879,257.2545,-51.0211,15.71,G03207;G03124;20SECONDTARGET
213511261,257.744,-52.5146,8.18,G03228;20SECONDTARGET
214519665,261.594,-48.615,6.58,G03251;20SECONDTARGET
21781185,267.8235,-42.839,16.04,G03207;G03124;20SECONDTARGET
218253891,262.0565,-45.7326,9.39,G03252;20SECONDTARGET
218263393,262.1714,-46.9004,7.16,G03227;G03228;G03226;G03182;G03106;G03274;20SECONDTARGET
218450024,262.6409,-46.0997,14.41,G03044;20SECONDTARGET
30450412,265.1167,-44.0297,16.35,G03124;20SECONDTARGET
