TICID,RA,Dec,Tmag,Keywords
186293704,17.348,37.5458,15.56,G07092;G07018;20SECONDTARGET
267738889,9.968,31.541,15.05,G07092;G07018;20SECONDTARGET
283567763,13.4188,36.0209,14.71,G07092;G07018;20SECONDTARGET
44670890,22.4788,32.4605,16.0,G07092;G07018;20SECONDTARGET
600065959,19.1434,31.4811,16.82,G07092;G07018;20SECONDTARGET
600289554,8.024,33.9398,16.86,G07092;G07018;20SECONDTARGET
600354880,11.2376,38.0641,17.29,G07092;G07018;20SECONDTARGET
61129836,20.4063,34.6787,16.41,G07092;G07018;20SECONDTARGET
354537884,1.8838,33.2906,14.18,G07092;G07018;20SECONDTARGET
437743290,3.3383,28.3388,16.01,G07092;G07018;20SECONDTARGET
44489594,7.173,31.5192,16.5,G07092;G07018;20SECONDTARGET
611709143,4.006,26.0382,17.18,G07092;G07018;20SECONDTARGET
611754120,6.1455,27.7016,16.83,G07092;G07018;20SECONDTARGET
611765125,4.4379,27.8499,16.56,G07092;G07018;20SECONDTARGET
611842039,1.6448,28.9797,16.64,G07092;G07018;20SECONDTARGET
611261822,11.3431,14.3456,17.97,G07092;G07018;20SECONDTARGET
611287510,8.7845,13.8456,16.89,G07092;G07018;20SECONDTARGET
611303779,7.5138,15.441,17.76,G07092;G07018;20SECONDTARGET
611460589,6.376,19.635,17.0,G07092;G07018;20SECONDTARGET
15554027,15.441,26.0447,16.09,G07092;G07018;20SECONDTARGET
15731647,17.5508,27.0169,15.28,G07092;G07018;20SECONDTARGET
18187582,22.5054,26.6492,15.62,G07092;G07018;20SECONDTARGET
18187766,22.5254,27.2722,16.2,G07092;G07018;20SECONDTARGET
353851486,24.7211,25.3893,16.34,G07092;G07018;20SECONDTARGET
436545818,13.6948,22.9354,16.09,G07092;G07018;20SECONDTARGET
600018028,16.8597,25.3097,16.9,G07092;G07018;20SECONDTARGET
600023501,16.8676,26.8382,18.48,G07092;G07018;20SECONDTARGET
611341484,17.2197,16.9772,16.78,G07092;G07018;20SECONDTARGET
611365815,19.1926,20.8334,17.77,G07092;G07018;20SECONDTARGET
620518452,23.1,24.9367,17.15,G07092;G07018;20SECONDTARGET
318631844,349.4901,55.8407,15.91,G07092;G07018;20SECONDTARGET
252627215,346.3823,51.4221,15.72,G07092;G07018;20SECONDTARGET
2054277875,352.6307,33.7357,17.11,G07092;G07018;20SECONDTARGET
333224807,352.901,41.0245,14.07,G07092;G07018;20SECONDTARGET
612043538,1.2566,40.0602,16.73,G07092;G07018;20SECONDTARGET
191035287,7.4701,44.3174,16.59,G07092;G07018;20SECONDTARGET
600724975,13.0186,45.0928,16.09,G07092;G07018;20SECONDTARGET
2050760016,341.0415,69.3477,16.75,G07092;G07018;20SECONDTARGET
323009972,319.2192,73.8444,15.21,G07092;G07018;20SECONDTARGET
256866809,301.7312,61.7184,15.86,G07092;G07018;20SECONDTARGET
